time;row_1;row_2;row_3;
   1;   -0.0396;    0.0610;    0.4826;
   2;   -0.0717;    0.0804;    0.6581;
   3;   -0.1114;    0.0963;    0.8000;
   4;   -0.1535;    0.1082;    0.8897;
   5;   -0.1953;    0.1168;    0.9252;
   6;   -0.2393;    0.1230;    0.9140;
   7;   -0.2914;    0.1267;    0.8682;
   8;   -0.3570;    0.1268;    0.8028;
   9;   -0.4390;    0.1209;    0.7335;
  10;   -0.5376;    0.1062;    0.6731;
  11;   -0.6520;    0.0790;    0.6239;
  12;   -0.7806;    0.0356;    0.5774;
  13;   -0.9209;   -0.0272;    0.5240;
  14;   -1.0674;   -0.1118;    0.4615;
  15;   -1.2122;   -0.2182;    0.3926;
  16;   -1.3465;   -0.3435;    0.3181;
  17;   -1.4618;   -0.4827;    0.2404;
  18;   -1.5512;   -0.6296;    0.1685;
  19;   -1.6090;   -0.7780;    0.1128;
  20;   -1.6312;   -0.9211;    0.0744;
  21;   -1.6160;   -1.0524;    0.0474;
  22;   -1.5641;   -1.1651;    0.0279;
  23;   -1.4777;   -1.2529;    0.0147;
  24;   -1.3595;   -1.3107;    0.0051;
  25;   -1.2126;   -1.3355;   -0.0024;
  26;   -1.0413;   -1.3267;   -0.0042;
  27;   -0.8513;   -1.2852;    0.0024;
  28;   -0.6500;   -1.2133;    0.0111;
  29;   -0.4454;   -1.1149;    0.0127;
  30;   -0.2456;   -0.9951;    0.0068;
  31;   -0.0574;   -0.8606;    0.0017;
  32;    0.1135;   -0.7182;    0.0048;
  33;    0.2636;   -0.5736;    0.0186;
  34;    0.3915;   -0.4308;    0.0443;
  35;    0.4988;   -0.2917;    0.0815;
  36;    0.5896;   -0.1571;    0.1248;
  37;    0.6694;   -0.0266;    0.1641;
  38;    0.7436;    0.1004;    0.1909;
  39;    0.8163;    0.2242;    0.2020;
  40;    0.8902;    0.3444;    0.2025;
  41;    0.9665;    0.4603;    0.2055;
  42;    1.0454;    0.5710;    0.2222;
  43;    1.1252;    0.6768;    0.2486;
  44;    1.2035;    0.7784;    0.2683;
  45;    1.2771;    0.8768;    0.2722;
  46;    1.3424;    0.9722;    0.2698;
  47;    1.3955;    1.0641;    0.2776;
  48;    1.4326;    1.1501;    0.3004;
  49;    1.4494;    1.2266;    0.3291;
  50;    1.4418;    1.2883;    0.3543;
  51;    1.4065;    1.3290;    0.3739;
  52;    1.3417;    1.3426;    0.3894;
  53;    1.2484;    1.3237;    0.4004;
  54;    1.1302;    1.2693;    0.4014;
  55;    0.9927;    1.1797;    0.3854;
  56;    0.8427;    1.0589;    0.3542;
  57;    0.6882;    0.9149;    0.3233;
  58;    0.5372;    0.7575;    0.3072;
  59;    0.3973;    0.5969;    0.3008;
  60;    0.2745;    0.4408;    0.2851;
  61;    0.1724;    0.2942;    0.2508;
  62;    0.0913;    0.1581;    0.2072;
  63;    0.0269;    0.0298;    0.1663;
  64;   -0.0289;   -0.0964;    0.1274;
  65;   -0.0843;   -0.2274;    0.0845;
  66;   -0.1435;   -0.3686;    0.0419;
  67;   -0.2069;   -0.5229;    0.0145;
  68;   -0.2740;   -0.6900;    0.0131;
  69;   -0.3447;   -0.8666;    0.0321;
  70;   -0.4186;   -1.0470;    0.0560;
  71;   -0.4932;   -1.2237;    0.0738;
  72;   -0.5658;   -1.3894;    0.0870;
  73;   -0.6352;   -1.5391;    0.1064;
  74;   -0.7022;   -1.6719;    0.1418;
  75;   -0.7683;   -1.7908;    0.1899;
  76;   -0.8338;   -1.9012;    0.2308;
