time;row_1;row_2;row_3;
   1;    0.0231;    0.0681;    0.8098;
   2;    0.0186;    0.0937;    1.0307;
   3;    0.0068;    0.1176;    1.1888;
   4;   -0.0129;    0.1382;    1.2820;
   5;   -0.0425;    0.1548;    1.3230;
   6;   -0.0842;    0.1673;    1.3240;
   7;   -0.1384;    0.1753;    1.2894;
   8;   -0.2036;    0.1784;    1.2197;
   9;   -0.2787;    0.1764;    1.1213;
  10;   -0.3641;    0.1682;    1.0090;
  11;   -0.4607;    0.1522;    0.8945;
  12;   -0.5680;    0.1264;    0.7792;
  13;   -0.6843;    0.0881;    0.6641;
  14;   -0.8074;    0.0347;    0.5596;
  15;   -0.9350;   -0.0361;    0.4766;
  16;   -1.0640;   -0.1258;    0.4121;
  17;   -1.1901;   -0.2343;    0.3518;
  18;   -1.3076;   -0.3597;    0.2878;
  19;   -1.4110;   -0.4979;    0.2286;
  20;   -1.4952;   -0.6424;    0.1917;
  21;   -1.5542;   -0.7859;    0.1855;
  22;   -1.5807;   -0.9209;    0.1994;
  23;   -1.5661;   -1.0406;    0.2080;
  24;   -1.5035;   -1.1398;    0.1899;
  25;   -1.3908;   -1.2142;    0.1439;
  26;   -1.2311;   -1.2605;    0.0866;
  27;   -1.0317;   -1.2761;    0.0360;
  28;   -0.8020;   -1.2600;   -0.0008;
  29;   -0.5531;   -1.2127;   -0.0230;
  30;   -0.2979;   -1.1371;   -0.0285;
  31;   -0.0505;   -1.0372;   -0.0167;
  32;    0.1766;   -0.9178;    0.0062;
  33;    0.3746;   -0.7830;    0.0307;
  34;    0.5403;   -0.6370;    0.0522;
  35;    0.6756;   -0.4834;    0.0708;
  36;    0.7855;   -0.3259;    0.0861;
  37;    0.8765;   -0.1675;    0.0974;
  38;    0.9543;   -0.0097;    0.1056;
  39;    1.0230;    0.1471;    0.1078;
  40;    1.0850;    0.3025;    0.0968;
  41;    1.1407;    0.4552;    0.0738;
  42;    1.1891;    0.6021;    0.0575;
  43;    1.2279;    0.7386;    0.0704;
  44;    1.2541;    0.8602;    0.1156;
  45;    1.2653;    0.9636;    0.1743;
  46;    1.2609;    1.0472;    0.2235;
  47;    1.2419;    1.1110;    0.2492;
  48;    1.2100;    1.1561;    0.2457;
  49;    1.1664;    1.1833;    0.2155;
  50;    1.1118;    1.1933;    0.1741;
  51;    1.0467;    1.1858;    0.1470;
  52;    0.9714;    1.1598;    0.1542;
  53;    0.8865;    1.1132;    0.1930;
  54;    0.7924;    1.0444;    0.2376;
  55;    0.6904;    0.9531;    0.2558;
  56;    0.5824;    0.8414;    0.2308;
  57;    0.4725;    0.7146;    0.1719;
  58;    0.3659;    0.5792;    0.1049;
  59;    0.2680;    0.4416;    0.0520;
  60;    0.1827;    0.3065;    0.0208;
  61;    0.1102;    0.1756;    0.0067;
  62;    0.0471;    0.0468;    0.0017;
  63;   -0.0118;   -0.0848;    0.0004;
  64;   -0.0697;   -0.2245;    0.0001;
  65;   -0.1272;   -0.3752;    0.0000;
  66;   -0.1838;   -0.5365;    0.0000;
  67;   -0.2394;   -0.7056;    0.0000;
  68;   -0.2946;   -0.8771;    0.0000;
  69;   -0.3497;   -1.0434;    0.0000;
  70;   -0.4042;   -1.1948;    0.0000;
  71;   -0.4578;   -1.3228;    0.0000;
  72;   -0.5116;   -1.4227;    0.0000;
  73;   -0.5689;   -1.4939;    0.0000;
  74;   -0.6350;   -1.5395;    0.0000;
  75;   -0.7156;   -1.5638;    0.0000;
  76;   -0.8152;   -1.5711;    0.0000;
  77;   -0.9350;   -1.5662;    0.0000;
  78;   -1.0727;   -1.5531;    0.0000;
  79;   -1.2236;   -1.5354;    0.0000;
  80;   -1.3823;   -1.5158;    0.0000;
  81;   -1.5465;   -1.4969;   -0.0000;
  82;   -1.7163;   -1.4814;   -0.0000;
  83;   -1.8932;   -1.4719;   -0.0000;
  84;   -2.0756;   -1.4693;   -0.0000;
  85;   -2.2569;   -1.4720;   -0.0000;
  86;   -2.4276;   -1.4758;   -0.0000;
  87;   -2.5793;   -1.4755;   -0.0000;
  88;   -2.7061;   -1.4663;   -0.0000;
  89;   -2.8032;   -1.4447;   -0.0001;
  90;   -2.8634;   -1.4068;   -0.0005;
  91;   -2.8776;   -1.3483;   -0.0027;
  92;   -2.8375;   -1.2650;   -0.0125;
  93;   -2.7393;   -1.1546;   -0.0475;
  94;   -2.5851;   -1.0170;   -0.1457;
  95;   -2.3807;   -0.8540;   -0.3644;
  96;   -2.1329;   -0.6676;   -0.7500;
  97;   -1.8481;   -0.4593;   -1.2870;
  98;   -1.5325;   -0.2307;   -1.8735;
  99;   -1.1963;    0.0122;   -2.3650;
 100;   -0.8605;    0.2534;   -2.6604;
 101;   -0.5607;    0.4640;   -2.7530;
 102;   -0.3393;    0.6097;   -2.7098;
 103;   -0.2231;    0.6705;   -2.6146;
 104;   -0.2030;    0.6569;   -2.5257;
 105;   -0.2390;    0.6047;   -2.4659;
 106;   -0.2869;    0.5513;   -2.4341;
 107;   -0.3214;    0.5157;   -2.4202;
 108;   -0.3389;    0.4984;   -2.4153;
 109;   -0.3455;    0.4921;   -2.4138;
 110;   -0.3474;    0.4902;   -2.4135;
 111;   -0.3478;    0.4898;   -2.4134;
 112;   -0.3479;    0.4898;   -2.4134;
 113;   -0.3479;    0.4898;   -2.4134;
 114;   -0.3479;    0.4898;   -2.4134;
 115;   -0.3479;    0.4897;   -2.4134;
 116;   -0.3478;    0.4897;   -2.4131;
 117;   -0.3476;    0.4894;   -2.4117;
 118;   -0.3467;    0.4880;   -2.4050;
 119;   -0.3431;    0.4830;   -2.3803;
 120;   -0.3329;    0.4686;   -2.3091;
 121;   -0.3095;    0.4357;   -2.1469;
 122;   -0.2674;    0.3764;   -1.8550;
 123;   -0.2076;    0.2922;   -1.4400;
