time;row_1;row_2;row_3;
   1;    0.0068;    0.2342;    0.8237;
   2;    0.0119;    0.2693;    1.0650;
   3;    0.0158;    0.2600;    1.2028;
   4;    0.0139;    0.2052;    1.2163;
   5;    0.0020;    0.1120;    1.1417;
   6;   -0.0221;   -0.0131;    1.0456;
   7;   -0.0583;   -0.1677;    0.9808;
   8;   -0.1045;   -0.3513;    0.9579;
   9;   -0.1585;   -0.5627;    0.9538;
  10;   -0.2188;   -0.7986;    0.9410;
  11;   -0.2848;   -1.0537;    0.9104;
  12;   -0.3556;   -1.3193;    0.8702;
  13;   -0.4298;   -1.5829;    0.8310;
  14;   -0.5056;   -1.8303;    0.7939;
  15;   -0.5804;   -2.0488;    0.7509;
  16;   -0.6518;   -2.2308;    0.6906;
  17;   -0.7176;   -2.3744;    0.6036;
  18;   -0.7763;   -2.4813;    0.4876;
  19;   -0.8274;   -2.5550;    0.3531;
  20;   -0.8714;   -2.5989;    0.2218;
  21;   -0.9089;   -2.6167;    0.1147;
  22;   -0.9396;   -2.6118;    0.0403;
  23;   -0.9632;   -2.5856;   -0.0047;
  24;   -0.9787;   -2.5373;   -0.0250;
  25;   -0.9832;   -2.4632;   -0.0236;
  26;   -0.9712;   -2.3584;   -0.0074;
  27;   -0.9369;   -2.2192;    0.0084;
  28;   -0.8770;   -2.0452;    0.0078;
  29;   -0.7930;   -1.8398;   -0.0162;
  30;   -0.6901;   -1.6096;   -0.0576;
  31;   -0.5743;   -1.3636;   -0.1002;
  32;   -0.4521;   -1.1127;   -0.1274;
  33;   -0.3317;   -0.8693;   -0.1336;
  34;   -0.2237;   -0.6454;   -0.1246;
  35;   -0.1382;   -0.4500;   -0.1052;
  36;   -0.0783;   -0.2864;   -0.0732;
  37;   -0.0381;   -0.1514;   -0.0287;
  38;   -0.0077;   -0.0367;    0.0178;
  39;    0.0211;    0.0683;    0.0533;
  40;    0.0513;    0.1725;    0.0738;
  41;    0.0827;    0.2821;    0.0826;
  42;    0.1141;    0.4008;    0.0814;
  43;    0.1453;    0.5306;    0.0704;
  44;    0.1777;    0.6708;    0.0529;
  45;    0.2136;    0.8178;    0.0341;
  46;    0.2549;    0.9656;    0.0160;
  47;    0.3024;    1.1078;    0.0005;
  48;    0.3559;    1.2393;   -0.0070;
  49;    0.4147;    1.3562;   -0.0049;
  50;    0.4775;    1.4554;    0.0002;
  51;    0.5422;    1.5331;    0.0018;
  52;    0.6063;    1.5846;    0.0014;
  53;    0.6660;    1.6049;    0.0013;
  54;    0.7167;    1.5897;   -0.0026;
  55;    0.7540;    1.5370;   -0.0132;
  56;    0.7746;    1.4474;   -0.0245;
  57;    0.7775;    1.3249;   -0.0283;
  58;    0.7639;    1.1769;   -0.0254;
  59;    0.7357;    1.0132;   -0.0227;
  60;    0.6959;    0.8450;   -0.0239;
  61;    0.6488;    0.6838;   -0.0279;
  62;    0.6002;    0.5389;   -0.0326;
  63;    0.5564;    0.4163;   -0.0363;
  64;    0.5221;    0.3180;   -0.0383;
  65;    0.4989;    0.2422;   -0.0413;
  66;    0.4853;    0.1843;   -0.0475;
  67;    0.4786;    0.1389;   -0.0527;
  68;    0.4754;    0.1002;   -0.0486;
  69;    0.4731;    0.0632;   -0.0345;
  70;    0.4694;    0.0238;   -0.0172;
  71;    0.4625;   -0.0215;   -0.0010;
  72;    0.4517;   -0.0761;    0.0167;
  73;    0.4375;   -0.1409;    0.0367;
  74;    0.4211;   -0.2135;    0.0524;
  75;    0.4034;   -0.2885;    0.0597;
  76;    0.3846;   -0.3602;    0.0629;
  77;    0.3641;   -0.4240;    0.0674;
  78;    0.3412;   -0.4768;    0.0725;
  79;    0.3152;   -0.5168;    0.0760;
  80;    0.2857;   -0.5442;    0.0798;
  81;    0.2522;   -0.5612;    0.0854;
  82;    0.2146;   -0.5710;    0.0895;
  83;    0.1730;   -0.5780;    0.0915;
  84;    0.1281;   -0.5864;    0.1009;
  85;    0.0805;   -0.5994;    0.1310;
  86;    0.0294;   -0.6196;    0.1843;
  87;   -0.0276;   -0.6478;    0.2459;
