time;open;close;diff;volume;
   1;   39.2069;   40.3303;    1.0687;6142651.4286;
   2;   38.7586;   39.0429;    0.3666;3459674.2857;
   3;   38.5431;   38.4097;   -0.0517;1995168.5714;
   4;   38.6580;   38.6631;   -0.0714;2123920.0000;
   5;   38.6891;   38.5703;   -0.1501;2237054.2857;
   6;   38.9509;   38.5200;   -0.4052;2726574.2857;
   7;   39.2911;   38.7991;   -0.4273;2798180.0000;
   8;   39.4123;   39.2500;   -0.2250;2749605.7143;
   9;   39.5609;   39.5049;   -0.0699;2958060.0000;
  10;   39.8111;   39.7549;   -0.0329;2884551.4286;
  11;   39.7711;   39.8866;    0.1826;2656594.2857;
  12;   39.1734;   39.6386;    0.3382;2189025.7143;
  13;   38.7657;   38.9814;    0.2569;2148402.8571;
  14;   38.5489;   38.6203;    0.0768;2272285.7143;
  15;   38.2571;   38.5129;    0.3841;3341720.0000;
  16;   37.4317;   38.3614;    0.8207;3836782.8571;
  17;   36.6874;   37.4437;    0.5768;3553600.0000;
  18;   36.9254;   36.5951;   -0.0829;2607688.5714;
  19;   37.2934;   36.9923;   -0.3450;2313700.0000;
  20;   37.4340;   37.4209;   -0.0236;2106694.2857;
  21;   37.3311;   37.5197;    0.1405;2907557.1429;
  22;   37.2286;   37.3097;    0.0973;3409314.2857;
  23;   37.2260;   37.2286;    0.0726;3079934.2857;
  24;   37.1394;   37.2414;   -0.0304;2459737.1429;
  25;   37.3343;   37.0460;   -0.1282;3479308.5714;
  26;   37.6649;   37.3737;   -0.5496;3783380.0000;
  27;   38.6794;   37.7829;   -0.5709;3509542.8571;
  28;   38.9009;   38.8217;   -0.2415;2696922.8571;
  29;   38.5251;   38.9120;    0.5035;2956888.5714;
  30;   37.7329;   38.3537;    0.3147;3054145.7143;
  31;   38.1080;   37.4900;   -0.4056;3018960.0000;
  32;   38.9349;   37.9366;   -0.9523;2951825.7143;
  33;   39.6437;   38.9777;   -0.7346;2358628.5714;
  34;   39.9471;   39.6437;   -0.2932;2305600.0000;
  35;   39.7394;   39.9471;    0.3740;3301948.5714;
  36;   38.9049;   39.7711;    0.4385;4498131.4286;
  37;   39.0471;   38.7780;    0.0083;7015674.2857;
  38;   39.0383;   38.8889;   -0.0363;8678580.0000;
  39;   37.8574;   38.8951;    1.0620;8685505.7143;
  40;   35.6834;   37.4686;    1.3996;5532005.7143;
  41;   34.9871;   35.2900;    0.5181;3890120.0000;
  42;   35.5317;   34.8309;   -0.7232;3529185.7143;
  43;   36.8014;   35.7726;   -0.9298;3425525.7143;
  44;   37.1414;   36.9177;   -0.1217;3772054.2857;
  45;   36.1457;   37.1620;    0.8117;3485888.5714;
  46;   35.2246;   36.0269;    0.6601;3064648.5714;
  47;   35.5477;   35.1800;   -0.0646;2130211.4286;
  48;   35.9303;   35.5931;   -0.4887;2573351.4286;
  49;   36.4320;   35.9457;   -0.4258;2708974.2857;
  50;   36.8746;   36.4474;   -0.4683;3331442.8571;
  51;   37.3760;   36.8986;   -0.4707;3406668.5714;
  52;   37.8914;   37.4171;   -0.4730;4002402.8571;
  53;   38.2486;   37.9154;   -0.3195;3921622.8571;
  54;   38.2537;   38.2691;    0.0462;3424817.1429;
  55;   37.7669;   38.2486;    0.3907;3581945.7143;
  56;   37.1609;   37.7780;    0.7962;3482702.8571;
  57;   36.1129;   37.1480;    0.7945;4372025.7143;
  58;   35.6363;   35.8963;    0.3475;4364477.1429;
  59;   35.8946;   35.5183;   -0.3162;4550185.7143;
  60;   36.4923;   35.9294;   -0.6861;3469082.8571;
  61;   37.2940;   36.6037;   -0.4873;3501654.2857;
  62;   37.0849;   37.3737;    0.1568;8796111.4286;
  63;   36.1820;   37.2354;    1.2037;10267125.7143;
  64;   34.4651;   36.2883;    1.5035;8396491.4286;
  65;   33.3746;   34.4386;    1.4180;3657874.2857;
  66;   32.4029;   33.3746;    0.5833;3810831.4286;
  67;   32.7914;   32.4029;   -0.0432;4002402.8571;
  68;   33.2117;   32.7914;   -0.5935;4095800.0000;
  69;   33.7203;   33.1637;   -0.3870;4147457.1429;
  70;   34.1223;   33.9123;   -0.4852;3658108.5714;
  71;   35.1660;   34.3943;   -0.5145;3529005.7143;
  72;   35.7806;   35.3580;   -0.5516;3253231.4286;
  73;   36.0771;   35.7326;   -0.2984;3719677.1429;
  74;   36.2654;   36.0506;   -0.2366;3732020.0000;
  75;   36.6206;   36.3717;   -0.3122;3339111.4286;
  76;   37.1646;   36.7557;   -0.2597;3287511.4286;
  77;   37.2726;   37.3540;    0.0366;3424154.2857;
  78;   36.9789;   37.2366;    0.2062;3575857.1429;
  79;   37.4774;   37.1563;   -0.3432;3760188.5714;
  80;   38.4231;   36.9274;   -1.4761;4039362.8571;
