time;open;close;diff;volume;
   1;   28.4563;   29.8517;    1.2091;13203468.5714;
   2;   31.1769;   30.5411;   -0.3705;12984545.7143;
   3;   33.3217;   31.7563;   -1.2430;14260951.4286;
   4;   33.9889;   33.2754;   -1.1229;19043422.8571;
   5;   38.1443;   36.9837;   -0.8965;16365388.5714;
   6;   43.0571;   41.8469;   -1.5865;11512957.1429;
   7;   48.4300;   46.1837;   -1.8397;5452251.4286;
   8;   49.8214;   48.5580;   -1.3317;5002711.4286;
   9;   50.1914;   50.1917;   -0.0680;3232522.8571;
  10;   50.0500;   50.6529;    0.5497;2835908.5714;
  11;   50.2257;   50.6249;    0.4443;2336402.8571;
  12;   50.8929;   50.7571;   -0.2202;2452962.8571;
  13;   51.7649;   50.7120;   -1.0486;3818868.5714;
  14;   53.1543;   51.7366;   -1.1943;3553551.4286;
  15;   53.3957;   53.0506;   -0.4787;2725751.4286;
  16;   52.7737;   53.2177;    0.5170;1529077.1429;
  17;   51.8720;   52.6586;    0.4998;2594114.2857;
  18;   52.2614;   51.9289;   -0.0342;3250768.5714;
  19;   52.9306;   52.3471;   -0.8424;3826028.5714;
  20;   54.1391;   53.0220;   -0.7241;2933265.7143;
  21;   54.3640;   54.3000;   -0.3878;2730105.7143;
  22;   54.7343;   54.5943;   -0.0225;2950202.8571;
  23;   55.3229;   55.0391;   -0.4547;3015062.8571;
  24;   56.3720;   55.5677;   -0.4963;2282422.8571;
  25;   56.5911;   56.5751;   -0.1878;1715102.8571;
  26;   56.4740;   56.6477;    0.1237;2545162.8571;
  27;   56.6463;   56.5083;   -0.0662;3150914.2857;
  28;   56.9263;   56.6554;   -0.3220;3719060.0000;
  29;   57.8369;   57.4546;   -0.2535;3477677.1429;
  30;   58.5191;   58.4866;   -0.2093;2954617.1429;
  31;   59.2477;   58.9631;   -0.2042;2147220.0000;
  32;   59.2154;   59.0763;   -0.0367;2091614.2857;
  33;   58.4306;   58.8963;    0.3637;2381311.4286;
  34;   57.9157;   58.3123;    0.2739;2516374.2857;
  35;   58.1326;   57.8431;   -0.1823;2703094.2857;
  36;   58.0723;   57.9686;    0.1728;2600074.2857;
  37;   56.7394;   57.9317;    0.8234;2151142.8571;
  38;   55.9794;   56.5903;    0.5725;1905748.5714;
  39;   56.2397;   55.7074;   -0.2940;1976074.2857;
  40;   56.5217;   56.0477;   -0.5469;1977097.1429;
  41;   56.8006;   56.5697;   -0.2530;2139705.7143;
  42;   56.7691;   56.8006;    0.0466;3652328.5714;
  43;   56.3737;   56.7794;    0.4680;4820322.8571;
  44;   55.5243;   56.3326;    0.6070;3974588.5714;
  45;   55.0374;   55.4660;    0.7031;2085422.8571;
  46;   54.2231;   55.0271;    0.5432;1955457.1429;
  47;   53.8411;   54.1100;    0.4722;2685411.4286;
  48;   53.4969;   53.6971;    0.0159;3700157.1429;
  49;   53.6229;   53.2260;   -0.1599;4711460.0000;
  50;   53.9411;   53.5749;   -0.7168;5193191.4286;
  51;   55.2703;   53.9537;   -0.9784;4402282.8571;
  52;   56.1637;   55.3971;   -0.8295;2924802.8571;
  53;   56.3806;   56.1997;   -0.2669;2522871.4286;
  54;   56.4003;   56.1106;   -0.3800;3418854.2857;
  55;   56.9997;   56.1803;   -0.6600;4411668.5714;
  56;   57.3726;   56.9297;   -0.3961;3993777.1429;
  57;   57.2454;   57.5526;    0.1988;3598105.7143;
  58;   56.8631;   57.2154;    0.3666;4307831.4286;
  59;   56.9846;   56.8631;   -0.2270;5223811.4286;
  60;   57.9849;   56.8894;   -0.8729;7264402.8571;
  61;   59.6846;   58.3654;   -1.6171;8016922.8571;
  62;   62.3623;   60.2237;   -1.8492;7020645.7143;
  63;   64.1806;   62.7566;   -1.4597;3700557.1429;
  64;   64.4657;   64.0443;   -0.4124;3901797.1429;
  65;   64.2934;   64.3331;   -0.3039;4420457.1429;
  66;   65.1360;   64.1609;   -0.6211;4116668.5714;
