time;open;close;diff;volume;
   1;   48.3457;   48.9097;    0.4632;3423631.4286;
   2;   47.9991;   48.6311;    0.7672;2776674.2857;
   3;   47.5083;   48.0583;    0.7493;2160188.5714;
   4;   46.3917;   47.2023;    0.4267;1304460.0000;
   5;   46.5951;   46.1757;   -0.1913;1120374.2857;
   6;   47.1443;   46.6491;   -0.3790;1558014.2857;
   7;   46.6149;   47.1820;    0.5871;1686320.0000;
   8;   45.1266;   46.5223;    1.0953;1516931.4286;
   9;   44.2931;   44.6797;    0.4649;1290080.0000;
  10;   44.3603;   43.8009;   -0.3432;1325717.1429;
  11;   44.6649;   44.2094;   -0.6674;1448140.0000;
  12;   45.6240;   44.7863;   -0.7514;1969577.1429;
  13;   46.4383;   45.6686;   -0.7801;1985560.0000;
  14;   46.7489;   46.4271;   -0.1406;1911268.5714;
  15;   46.1917;   46.7489;    0.1657;1743274.2857;
  16;   46.3871;   46.1917;    0.0641;1879180.0000;
  17;   46.4783;   46.4034;   -0.0519;2002300.0000;
  18;   46.0446;   46.4397;    0.3979;1848117.1429;
  19;   45.4229;   45.8460;    0.1925;2463948.5714;
  20;   46.0217;   45.2071;   -0.7252;2538968.5714;
  21;   47.3831;   45.9317;   -1.2716;2122237.1429;
  22;   48.0737;   47.4097;   -0.6992;1674842.8571;
  23;   47.8489;   48.1217;    0.1641;1934174.2857;
  24;   47.1623;   47.6569;    0.5496;1875822.8571;
  25;   46.4854;   46.8903;    0.3255;1775354.2857;
  26;   46.4960;   46.2609;   -0.1945;2079742.8571;
  27;   47.3909;   46.6529;   -0.7445;1807745.7143;
  28;   48.4763;   47.5857;   -0.8361;1463091.4286;
  29;   49.4334;   49.0297;   -0.2556;1415314.2857;
  30;   49.5377;   49.9140;   -0.0141;2286420.0000;
  31;   50.1474;   49.5231;   -0.3242;4918088.5714;
  32;   52.1760;   51.2514;   -1.2369;5140174.2857;
  33;   55.3920;   53.8469;   -0.9862;2913791.4286;
  34;   56.4397;   56.5774;   -0.3652;665060.0000;
  35;   55.8940;   56.1209;    0.4816;1406480.0000;
  36;   55.1680;   55.8600;    0.5386;1588811.4286;
  37;   54.6134;   55.1440;    0.6261;1430714.2857;
  38;   54.0894;   54.6194;    0.5466;1146642.8571;
  39;   53.7266;   54.0894;    0.1561;890025.7143;
  40;   54.2186;   53.7266;   -0.1340;836017.1429;
  41;   54.3617;   54.2186;   -0.5008;1115177.1429;
  42;   55.2380;   54.3617;   -0.6951;1100160.0000;
  43;   56.0540;   55.2491;   -0.7764;1407011.4286;
  44;   56.2131;   56.0574;   -0.1012;1506380.0000;
  45;   55.4454;   55.9580;    0.3082;1685820.0000;
  46;   55.1669;   55.1717;    0.0522;1846051.4286;
  47;   55.3040;   54.8146;   -0.4096;2049948.5714;
  48;   55.4426;   55.1091;   -0.2699;1856885.7143;
  49;   55.1357;   55.3140;   -0.0349;1361520.0000;
  50;   54.9757;   54.9857;    0.2828;1026491.4286;
  51;   54.3014;   54.9146;    0.3778;1205288.5714;
  52;   53.5363;   53.7929;    0.4100;1645574.2857;
  53;   53.4643;   53.4191;   -0.2913;1744025.7143;
  54;   54.5483;   53.4814;   -0.7870;1224228.5714;
  55;   55.6543;   54.9426;   -0.7285;925402.8571;
  56;   55.7274;   55.5797;   -0.3566;1499417.1429;
  57;   56.0749;   55.7274;    0.0024;1768808.5714;
  58;   55.9754;   56.1289;   -0.3929;1800262.8571;
  59;   57.0214;   55.7594;   -0.8069;1746868.5714;
  60;   57.6000;   56.7634;   -0.9504;2015685.7143;
  61;   57.3143;   57.1920;   -0.0544;1741954.2857;
  62;   56.4397;   57.0963;    0.4796;1244337.1429;
  63;   55.7809;   56.2640;    0.5618;1063725.7143;
  64;   55.3586;   55.7637;    0.5553;1167497.1429;
  65;   54.8260;   55.3786;    0.1744;1374245.7143;
  66;   55.0086;   54.3117;   -0.3970;1127128.5714;
  67;   54.9420;   54.3886;   -0.5316;1086934.2857;
  68;   54.2186;   54.4929;    0.2762;1102997.1429;
  69;   53.5074;   54.3309;    0.6208;1598057.1429;
  70;   53.3989;   53.5074;    0.2232;1580517.1429;
  71;   53.8909;   53.3989;   -0.5324;1450645.7143;
  72;   54.8277;   53.8909;   -0.8075;1060625.7143;
  73;   55.5411;   54.8277;   -0.8480;1477154.2857;
  74;   56.3600;   55.5411;   -0.7826;1575840.0000;
  75;   56.9974;   56.3171;   -0.5819;1421148.5714;
  76;   57.3497;   57.2014;   -0.2854;1170911.4286;
  77;   57.6789;   57.4571;   -0.1575;1390274.2857;
  78;   57.9863;   57.6863;   -0.3139;1317780.0000;
  79;   58.5951;   58.0631;   -0.5497;1379520.0000;
  80;   59.4697;   58.5657;   -0.8928;1463160.0000;
