time;open;close;diff;volume;
   1;   51.0143;   50.9000;   -0.0695;502362.8571;
   2;   49.6689;   50.5000;    0.7649;684388.5714;
   3;   48.7877;   49.8500;    0.9924;698457.1429;
   4;   48.1749;   48.6286;    0.4118;438860.0000;
   5;   48.4980;   48.1929;   -0.1294;276168.5714;
   6;   48.6249;   48.5889;   -0.0194;324382.8571;
   7;   48.1909;   48.5803;    0.2327;438762.8571;
   8;   48.1534;   48.0591;   -0.1022;427651.4286;
   9;   48.7806;   48.0566;   -0.6203;310000.0000;
  10;   49.4906;   48.8466;   -0.6462;337708.5714;
  11;   49.7620;   49.5537;   -0.2086;610851.4286;
  12;   49.5520;   49.8066;    0.2028;650060.0000;
  13;   49.1209;   49.5409;    0.4476;543317.1429;
  14;   48.5537;   49.1209;    0.5381;313651.4286;
  15;   47.9006;   48.5537;    0.7331;387551.4286;
  16;   46.9263;   47.9006;    0.9587;467902.8571;
  17;   46.0317;   46.9263;    0.7121;401280.0000;
  18;   46.0714;   46.0317;    0.1283;538725.7143;
  19;   46.2246;   46.0714;   -0.0680;544851.4286;
  20;   45.9549;   46.2246;    0.0871;608002.8571;
  21;   46.0037;   45.9549;   -0.0268;381682.8571;
  22;   46.2594;   46.0037;   -0.1516;550074.2857;
  23;   46.0140;   46.2594;    0.2641;440480.0000;
  24;   45.1780;   46.0140;    0.6710;426577.1429;
  25;   44.4980;   45.1780;    0.8541;381840.0000;
  26;   43.6320;   44.4980;    0.7310;393162.8571;
  27;   43.1806;   43.6320;    0.4839;266202.8571;
  28;   43.1120;   43.1806;    0.0855;259277.1429;
  29;   43.1406;   43.1120;    0.0568;422525.7143;
  30;   42.9560;   43.1723;    0.0460;422477.1429;
  31;   42.9660;   42.8291;   -0.0184;315900.0000;
  32;   42.8277;   42.7863;   -0.0843;197834.2857;
  33;   42.5549;   42.7223;    0.2577;207502.8571;
  34;   41.8466;   42.5009;    0.4945;215294.2857;
  35;   41.2166;   41.7466;    0.7603;204768.5714;
  36;   40.2751;   41.0451;    0.4658;317700.0000;
  37;   40.5120;   40.1751;   -0.2120;399528.5714;
  38;   41.3889;   40.4366;   -0.9184;401548.5714;
  39;   42.0643;   41.3691;   -0.4868;236462.8571;
  40;   41.5857;   42.0060;    0.0536;157114.2857;
  41;   41.5960;   41.5446;    0.0897;94077.1429;
  42;   41.8834;   41.6063;   -0.2845;104691.4286;
  43;   41.9649;   41.8946;    0.0855;164831.4286;
  44;   41.0791;   41.9203;    0.6737;252991.4286;
  45;   40.1049;   41.0160;    0.9993;231957.1429;
  46;   39.5134;   40.0603;    0.2968;204934.2857;
  47;   40.3977;   39.5246;   -0.6028;250351.4286;
  48;   41.4506;   40.3977;   -1.1337;356037.1429;
  49;   42.3006;   41.4506;   -0.7334;359162.8571;
  50;   42.4794;   42.3006;   -0.3931;272394.2857;
  51;   42.7937;   42.4794;   -0.1964;269422.8571;
  52;   42.8251;   42.7937;    0.0013;420520.0000;
  53;   42.3054;   42.8251;    0.4895;603625.7143;
  54;   41.4983;   42.3054;    0.7667;613545.7143;
  55;   40.8466;   41.4983;    0.6449;493542.8571;
  56;   40.5009;   40.8466;    0.4014;373725.7143;
  57;   40.2509;   40.5120;    0.2581;299205.7143;
  58;   40.0863;   40.2063;    0.0177;277082.8571;
  59;   40.3434;   40.0231;   -0.1936;283114.2857;
  60;   40.4294;   40.3203;   -0.1201;498562.8571;
  61;   40.1294;   40.3549;    0.2107;519340.0000;
  62;   39.7251;   40.0080;    0.1662;338502.8571;
  63;   39.8054;   39.6394;   -0.0022;143920.0000;
  64;   39.8157;   39.8269;   -0.0613;316614.2857;
  65;   39.7800;   39.8157;    0.0005;349691.4286;
  66;   39.8054;   39.7800;    0.0501;277477.1429;
  67;   39.5109;   39.8157;    0.3385;311925.7143;
  68;   38.8477;   39.4697;    0.4609;453591.4286;
  69;   38.6603;   38.7894;    0.2228;431234.2857;
  70;   38.7317;   38.6406;   -0.1003;492851.4286;
  71;   38.7049;   38.6563;    0.0068;476114.2857;
  72;   38.2291;   38.5834;    0.3320;476942.8571;
  73;   37.5751;   38.1434;    0.5442;292297.1429;
  74;   37.2923;   37.5966;    0.2008;305240.0000;
  75;   37.7377;   37.2923;   -0.3778;248414.2857;
  76;   38.2191;   37.7377;   -0.3011;330000.0000;
  77;   37.6120;   38.2191;    0.5046;441737.1429;
  78;   36.4846;   37.6120;    1.0203;530657.1429;
  79;   35.9017;   36.4846;    0.5428;502428.5714;
  80;   36.1746;   35.9017;   -0.1342;312980.0000;
  81;   36.3929;   36.1746;   -0.1724;219457.1429;
  82;   36.0429;   36.3929;    0.2630;252482.8571;
  83;   35.5429;   36.0429;    0.4679;284160.0000;
  84;   35.2286;   35.5429;    0.3629;254125.7143;
  85;   34.9786;   35.2286;    0.2558;220791.4286;
  86;   34.7817;   34.9786;    0.1363;161885.7143;
  87;   34.7834;   34.7603;    0.0694;65360.0000;
  88;   34.7720;   34.8906;    0.0552;67908.5714;
  89;   34.7363;   34.8077;    0.1029;99788.5714;
  90;   34.6763;   34.7006;   -0.0241;137611.4286;
  91;   34.7706;   34.5691;   -0.1099;125271.4286;
  92;   35.0120;   34.7920;   -0.3559;100902.8571;
  93;   35.7251;   35.0120;   -0.6406;184642.8571;
  94;   36.5023;   35.7251;   -0.7235;374085.7143;
  95;   36.8569;   36.5023;   -0.3919;463394.2857;
  96;   36.8709;   36.8569;   -0.0373;317137.1429;
  97;   36.7591;   36.8709;    0.0954;215405.7143;
