time;row_1;
1;1.5154;
2;1.5093;
3;1.5071;
4;1.5132;
5;1.4816;
6;1.4283;
7;1.4342;
8;1.4274;
9;1.3774;
10;1.3636;
11;1.3755;
12;1.3347;
13;1.2854;
14;1.2258;
15;1.1746;
16;1.1307;
17;1.0739;
18;1.0148;
19;0.95589;
20;0.90589;
21;0.86526;
22;0.81047;
23;0.75227;
24;0.6942;
25;0.63621;
26;0.57832;
27;0.52057;
28;0.46289;
29;0.40539;
30;0.34798;
31;0.2907;
32;0.23359;
33;0.17656;
34;0.11979;
35;0.071641;
36;0.040136;
37;-0.0071134;
38;-0.062525;
39;-0.11756;
40;-0.17247;
41;-0.22707;
42;-0.28139;
43;-0.33553;
44;-0.36045;
45;-0.39024;
46;-0.44228;
47;-0.49393;
48;-0.54529;
49;-0.596;
50;-0.6392;
51;-0.6518;
52;-0.68233;
53;-0.72994;
54;-0.77666;
55;-0.81677;
56;-0.81948;
57;-0.84069;
58;-0.88334;
59;-0.92482;
60;-0.96581;
61;-1.0053;
62;-1.0236;
63;-1.0117;
64;-1.0337;
65;-1.0679;
66;-1.1001;
67;-1.1315;
68;-1.1613;
69;-1.1515;
70;-1.1231;
71;-1.1467;
72;-1.1694;
73;-1.1902;
74;-1.2092;
75;-1.2271;
76;-1.2421;
77;-1.2561;
78;-1.2678;
79;-1.2776;
80;-1.286;
81;-1.2914;
82;-1.2958;
83;-1.2975;
84;-1.2973;
85;-1.2956;
86;-1.2911;
87;-1.2854;
88;-1.277;
89;-1.2669;
90;-1.2552;
91;-1.241;
92;-1.2258;
93;-1.2079;
94;-1.1887;
95;-1.1679;
96;-1.145;
97;-1.1252;
98;-1.1535;
99;-1.1592;
100;-1.1293;
101;-1.0977;
102;-1.0655;
103;-1.0312;
104;-1.0126;
105;-1.0244;
106;-1.0024;
107;-0.96292;
108;-0.92181;
109;-0.88022;
110;-0.83757;
111;-0.81928;
112;-0.81658;
113;-0.77325;
114;-0.72646;
115;-0.67885;
116;-0.65088;
117;-0.63827;
118;-0.59229;
119;-0.54154;
120;-0.49018;
121;-0.45436;
122;-0.43334;
123;-0.38528;
124;-0.33157;
125;-0.27743;
126;-0.22307;
127;-0.16847;
128;-0.13363;
129;-0.10173;
130;-0.045552;
131;0.010754;
132;0.067243;
133;0.12394;
134;0.18073;
135;0.23777;
136;0.28731;
137;0.32386;
138;0.37509;
139;0.43315;
140;0.49138;
141;0.54967;
142;0.60807;
143;0.66656;
