time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -100; -12;-100;-12;7;14;101.503;-3.0172;
2; -93; 2;-96.5;-5;13;19;93.7293;3.12659;
3; -80; 21;-91;3.66667;16;24;83.2582;2.89397;
4; -64; 45;-84.25;14;28;42;78.4884;2.54023;
5; -36; 87;-74.6;28.6;20;36;93.8845;1.97263;
6; -16; 123;-64.8333;44.3333;19;32;123.543;1.70654;
7; 3; 155;-55.1429;60.1429;10;31;154.423;1.55602;
8; 13; 186;-46.625;75.875;4;16;185.813;1.50465;
9; 17; 202;-39.5556;89.8889;2;3;202.063;1.49013;
10; 19; 205;-33.7;101.4;0;-1;205.222;1.4816;
11; 19; 204;-28.9091;110.727;-1;-2;204.226;1.48116;
12; 18; 202;-25;118.333;0;-1;202.146;1.4852;
13; 18; 201;-21.6923;124.692;-2;-1;201.15;1.48478;
14; 16; 200;-19;130.071;-1;-4;199.991;1.49431;
15; 15; 196;-16.7333;134.467;-1;-33;195.927;1.49784;
16; 14; 163;-14.8125;136.25;0;-24;162.948;1.4892;
17; 14; 139;-13.1176;136.412;3;-36;139.042;1.47513;
18; 17; 103;-11.4444;134.556;2;-69;103.692;1.41313;
19; 19; 34;-9.84211;129.263;4;-56;38.0813;1.07007;
20; 23; -22;-8.2;121.7;2;-57;31.7322;-0.792362;
21; 25; -79;-6.61905;112.143;0;-53;83.215;-1.2747;
22; 25; -132;-5.18182;101.045;-7;-40;134.799;-1.38968;
23; 18; -172;-4.17391;89.1739;-4;-30;173.457;-1.471;
24; 14; -202;-3.41667;77.0417;-2;-21;203.029;-1.50533;
25; 12; -223;-2.8;65.04;1;-4;223.878;-1.52038;
26; 13; -227;-2.19231;53.8077;0;-4;227.925;-1.51689;
27; 13; -231;-1.62963;43.2593;0;-2;231.919;-1.51782;
28; 13; -233;-1.10714;33.3929;-1;-1;233.916;-1.51827;
29; 12; -234;-0.655172;24.1724;-1;0;234.865;-1.52274;
30; 11; -234;-0.266667;15.5667;3;5;234.819;-1.527;
31; 14; -229;0.193548;7.67742;3;10;229.978;-1.51301;
32; 17; -219;0.71875;0.59375;0;0;220.196;-1.49679;
