time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -87; -32;-87;-32;33;55;93.3134;-2.78985;
2; -54; 23;-70.5;-4.5;32;57;59.1885;2.74524;
3; -22; 80;-54.3333;23.6667;25;66;82.9866;1.84661;
4; 3; 146;-40;54.25;21;67;145.87;1.55434;
5; 24; 213;-27.2;86;13;33;214.132;1.4613;
6; 37; 246;-16.5;112.667;-3;18;248.53;1.42381;
7; 34; 264;-9.28571;134.286;-3;0;265.956;1.44488;
8; 31; 264;-4.25;150.5;0;-2;265.596;1.45609;
9; 31; 262;-0.333333;162.889;-2;-23;263.609;1.45522;
10; 29; 239;2.6;170.5;-5;-71;240.532;1.45245;
11; 24; 168;4.54545;170.273;-8;-113;169.473;1.43228;
12; 16; 55;5.5;160.667;-17;-181;56.9709;1.29708;
13; -1; -126;5;138.615;-6;-78;126.16;-1.58348;
14; -7; -204;4.14286;114.143;-4;-42;204.291;-1.60801;
15; -11; -246;3.13333;90.1333;3;-21;246.423;-1.61789;
16; -8; -267;2.4375;67.8125;0;-8;267.288;-1.60298;
17; -8; -275;1.82353;47.6471;2;0;275.284;-1.60204;
18; -6; -275;1.38889;29.7222;0;7;275.229;-1.59478;
19; -6; -268;1;14.0526;-1;4;268.231;-1.5954;
20; -7; -264;0.6;0.15;5.68632e-310;8.4817e-308;264.259;-1.59956;
