time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -142; -121;-142;-121;6;10;187.422;-2.43414;
2; -136; -111;-139;-116;23;32;176.402;-2.45512;
3; -113; -79;-130.333;-103.667;22;21;138.703;-2.52854;
4; -91; -58;-120.5;-92.25;19;29;108.721;-2.5701;
5; -72; -29;-110.8;-79.6;13;28;78.3363;-2.75127;
6; -59; -1;-102.167;-66.5;18;36;59.4719;-3.11123;
7; -41; 35;-93.4286;-52;19;48;53.7299;2.45175;
8; -22; 83;-84.5;-35.125;16;45;85.2038;1.83736;
9; -6; 128;-75.7778;-17;5;17;127.358;1.62142;
10; -1; 145;-68.3;-0.8;8;9;144.202;1.58081;
11; 7; 154;-61.4545;13.2727;2;6;153.335;1.52803;
12; 9; 160;-55.5833;25.5;3;7;159.424;1.51711;
13; 12; 167;-50.3846;36.3846;1;4;166.596;1.50138;
14; 13; 171;-45.8571;46;3;4;170.657;1.49716;
15; 16; 175;-41.7333;54.6;0;-1;174.888;1.48173;
16; 16; 174;-38.125;62.0625;0;-1;173.892;1.48122;
17; 16; 173;-34.9412;68.5882;-1;-2;172.896;1.4807;
18; 15; 171;-32.1667;74.2778;0;-4;170.816;1.48548;
19; 15; 167;-29.6842;79.1579;2;-19;166.831;1.48344;
20; 17; 148;-27.35;82.6;12;-44;148.123;1.45879;
21; 29; 104;-24.6667;83.619;3;-53;107.072;1.30084;
22; 32; 51;-22.0909;82.1364;-1;-33;59.2894;1.00956;
23; 31; 18;-19.7826;79.3478;-1;-51;35.0612;0.512562;
24; 30; -33;-17.7083;74.6667;0;-32;44.9037;-0.852374;
25; 30; -65;-15.8;69.08;1;-28;72.1381;-1.14866;
26; 31; -93;-14;62.8462;0;-30;98.6566;-1.2559;
27; 31; -123;-12.3333;55.963;2;-16;127.52;-1.32883;
28; 33; -139;-10.7143;49;4;-16;143.546;-1.34201;
29; 37; -155;-9.06897;41.9655;1;-11;160.036;-1.34034;
30; 38; -166;-7.5;35.0333;0;-3;170.981;-1.34934;
31; 38; -169;-6.03226;28.4516;1;-1;173.909;-1.35313;
32; 39; -170;-4.625;22.25;2;-1;175.103;-1.34879;
33; 41; -171;-3.24242;16.3939;0;0;176.527;-1.33898;
34; 41; -171;-1.94118;10.8824;0;-5;176.527;-1.33898;
35; 41; -176;-0.714286;5.54286;0;11;181.397;-1.34532;
36; 41; -165;0.444444;0.805556;0;0;170.693;-1.33091;
