time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -143; 99;-143;99;-3;3;173.876;2.54179;
2; -146; 102;-144.5;100.5;9;0;178.047;2.53739;
3; -137; 102;-142;101;40;-1;170.717;2.50743;
4; -97; 101;-130.75;101;93;-1;139.79;2.34292;
5; -4; 100;-105.4;100.8;43;0;99.2532;1.6164;
6; 39; 100;-81.3333;100.667;27;0;106.353;1.20064;
7; 66; 100;-60.2857;100.571;11;-2;118.818;0.98717;
8; 77; 98;-43.125;100.25;3;2;123.639;0.903919;
9; 80; 100;-29.4444;100.222;-1;0;127.071;0.895103;
10; 79; 100;-18.6;100.2;5;0;126.448;0.901274;
11; 84; 100;-9.27273;100.182;-1;-1;129.61;0.87102;
12; 83; 99;-1.58333;100.083;-3;-1;128.201;0.871963;
13; 80; 98;4.69231;99.9231;-4;-2;125.517;0.885137;
14; 76; 96;9.78571;99.6429;-15;-15;121.45;0.900202;
15; 61; 81;13.2;98.4;-26;-18;100.405;0.924407;
16; 35; 63;14.5625;96.1875;-27;-26;71.0714;1.06435;
17; 8; 37;14.1765;92.7059;-14;-9;36.9147;1.36689;
18; -6; 28;13.0556;89.1111;-15;-8;27.9231;1.80665;
19; -21; 20;11.2632;85.4737;-21;-9;28.8106;2.41452;
20; -42; 11;8.6;81.75;-22;-7;43.7195;2.90729;
21; -64; 4;5.14286;78.0476;-18;-1;64.6018;3.09281;
22; -82; 3;1.18182;74.6364;1;-5;82.553;3.11555;
23; -81; -2;-2.3913;71.3043;0;6;81.5748;-3.10665;
24; -81; 4;-5.66667;68.5;10;-1;81.5858;3.10297;
25; -71; 3;-8.28;65.88;25;8;71.5573;3.11154;
26; -46; 11;-9.73077;63.7692;58;1;47.6193;2.9268;
27; 12; 12;-8.92593;61.8519;27;-1;15.9999;0.771035;
28; 39; 11;-7.21429;60.0357;20;-5;39.7913;0.257931;
29; 59; 6;-4.93103;58.1724;11;-16;58.7013;0.0878452;
30; 70; -10;-2.43333;55.9;9;-33;70.3171;-0.15492;
31; 79; -43;0.193548;52.7097;0;-35;89.8952;-0.509557;
32; 79; -78;2.65625;48.625;-4;-56;111.246;-0.787782;
33; 75; -134;4.84848;43.0909;-12;-29;154.049;-1.0662;
34; 63; -163;6.55882;37.0294;-26;-30;175.357;-1.20652;
35; 37; -193;7.42857;30.4571;-25;-14;197.252;-1.38481;
36; 12; -207;7.55556;23.8611;-32;-6;208.167;-1.51564;
37; -20; -213;6.81081;17.4595;-31;0;214.833;-1.66648;
38; -51; -213;5.28947;11.3947;-27;10;219.97;-1.80723;
39; -78; -203;3.15385;5.89744;-24;7;218.451;-1.93849;
40; -102; -196;0.525;0.85;88;-31;221.949;-2.05097;
