time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -146; 146;-146;146;22;3;206.406;2.35753;
2; -124; 149;-135;147.5;28;1;193.754;2.26626;
3; -96; 150;-122;148.333;64;-5;177.964;2.14154;
4; -32; 145;-99.5;147.5;39;1;148.283;1.78932;
5; 7; 146;-78.2;147.2;33;0;145.917;1.52381;
6; 40; 146;-58.5;147;39;2;151.106;1.30389;
7; 79; 148;-38.8571;147.143;22;3;167.481;1.08057;
8; 101; 151;-21.375;147.625;5;3;181.38;0.98119;
9; 106; 154;-7.22222;148.333;-5;-7;186.671;0.967863;
10; 101; 147;3.6;148.2;-1;0;178.07;0.968699;
11; 100; 147;12.3636;148.091;-19;-14;177.505;0.973342;
12; 81; 133;18.0833;146.833;-34;-29;155.44;1.02376;
13; 47; 104;20.3077;143.538;-42;-35;113.845;1.14663;
14; 5; 69;19.2143;138.214;-35;-33;68.9272;1.50032;
15; -30; 36;15.9333;131.4;-23;-26;46.7686;2.27128;
16; -53; 10;11.625;123.813;-24;-12;54.0344;2.96004;
17; -77; -2;6.41176;116.412;-6;-1;77.179;-3.11251;
18; -83; -3;1.44444;109.778;-6;0;83.2096;-3.1026;
19; -89; -3;-3.31579;103.842;4;0;89.2053;-3.10522;
20; -85; -3;-7.4;98.5;14;4;85.2081;-3.10351;
21; -71; 1;-10.4286;93.8571;37;13;71.1504;3.13097;
22; -34; 14;-11.5;90.2273;41;1;36.8131;2.75863;
23; 7; 15;-10.6957;86.9565;19;-4;16.2701;1.13598;
24; 26; 11;-9.16667;83.7917;19;-12;28.0019;0.394255;
25; 45; -1;-7;80.4;22;-12;44.8709;-0.0277254;
26; 67; -13;-4.15385;76.8077;16;-16;68.1529;-0.195571;
27; 83; -29;-0.925926;72.8889;13;-22;87.8632;-0.339308;
28; 96; -51;2.53571;68.4643;6;-22;108.692;-0.490947;
29; 102; -73;5.96552;63.5862;-16;-30;125.455;-0.623436;
30; 86; -103;8.63333;58.0333;-21;-22;134.276;-0.877105;
31; 65; -125;10.4516;52.129;-36;-20;141.039;-1.093;
32; 29; -145;11.0313;45.9688;-28;-11;148.082;-1.37469;
33; 1; -156;10.7273;39.8485;-27;-7;156.246;-1.56533;
34; -26; -163;9.64706;33.8824;-16;-1;165.325;-1.72961;
35; -42; -164;8.17143;28.2286;-6;1;169.565;-1.82198;
36; -48; -163;6.61111;22.9167;0;-1;170.196;-1.8576;
37; -48; -164;5.13514;17.8649;1;-1;171.155;-1.85595;
38; -47; -165;3.76316;13.0526;1;0;171.838;-1.84873;
39; -46; -165;2.48718;8.48718;1;1;171.566;-1.84312;
40; -45; -164;1.3;4.175;-1;7;170.336;-1.83905;
41; -46; -157;0.146341;0.243902;87;-29;163.875;-1.85625;
