time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; 209; 236;209;236;-10;9;314.501;0.84433;
2; 199; 245;204;240.5;-11;7;314.874;0.887069;
3; 188; 252;198.667;244.333;-18;15;313.62;0.928371;
4; 170; 267;191.5;250;-15;-5;315.713;1.00255;
5; 155; 262;184.2;252.4;-21;-3;303.59;1.03534;
6; 134; 259;175.833;253.5;-22;0;290.765;1.09222;
7; 112; 259;166.714;254.286;-15;-5;281.312;1.16169;
8; 97; 254;158;254.25;-48;-26;271.014;1.20515;
9; 49; 228;145.889;251.333;-42;-35;232.304;1.3587;
10; 7; 193;132;245.5;-32;-46;192.222;1.53488;
11; -25; 147;117.727;236.545;-37;-31;148.238;1.74092;
12; -62; 116;102.75;226.5;-21;-26;130.781;2.06556;
13; -83; 90;88.4615;216;-13;-15;121.835;2.32136;
14; -96; 75;75.2857;205.929;-16;-26;121.348;2.48474;
15; -112; 49;62.8;195.467;-15;-40;121.981;2.73628;
16; -127; 9;50.9375;183.813;-8;-26;127.356;3.07796;
17; -135; -17;40;172;-5;-20;136.279;-3.00985;
18; -140; -37;30;160.389;0;-21;145.134;-2.87738;
19; -140; -58;21.0526;148.895;-1;-17;151.977;-2.7436;
20; -141; -75;12.95;137.7;3;-13;160.218;-2.64806;
21; -138; -88;5.7619;126.952;14;-32;164.24;-2.56962;
22; -124; -120;-0.136364;115.727;8;-9;173.256;-2.36924;
23; -116; -129;-5.17391;105.087;13;-11;174.222;-2.30014;
24; -103; -140;-9.25;94.875;12;-8;174.593;-2.20248;
25; -91; -148;-12.52;85.16;17;-9;174.558;-2.11985;
26; -74; -157;-14.8846;75.8462;22;-4;174.423;-2.00956;
27; -52; -161;-16.2593;67.0741;32;-7;170.078;-1.88212;
28; -20; -168;-16.3929;58.6786;20;5;170.094;-1.68923;
29; 0; -163;-15.8276;51.0345;26;16;163.902;-1.57139;
30; 26; -147;-14.4333;44.4333;29;19;150.153;-1.39743;
31; 55; -128;-12.1935;38.871;21;11;140.107;-1.16815;
32; 76; -117;-9.4375;34;7;5;140.221;-0.998812;
33; 83; -112;-6.63636;29.5758;-3;8;140.07;-0.93743;
34; 80; -104;-4.08824;25.6471;0;10;131.866;-0.91986;
35; 80; -94;-1.68571;22.2286;-2;10;124.059;-0.870999;
36; 78; -84;0.527778;19.2778;0;7;115.226;-0.828368;
37; 78; -77;2.62162;16.6757;-2;4;110.17;-0.785398;
38; 76; -73;4.55263;14.3158;-1;8;105.937;-0.772048;
39; 75; -65;6.35897;12.2821;-10;5;99.7666;-0.721566;
40; 65; -60;7.825;10.475;-6;9;89.0018;-0.753613;
41; 59; -51;9.07317;8.97561;-8;18;78.5064;-0.722307;
42; 51; -33;10.0714;7.97619;-19;6;61.1584;-0.587558;
43; 32; -27;10.5814;7.16279;-20;5;42.3822;-0.718612;
44; 12; -22;10.6136;6.5;-22;3;25.81;-1.09152;
45; -10; -19;10.1556;5.93333;-21;1;22.3172;-2.04034;
46; -31; -18;9.26087;5.41304;-29;-8;36.3919;-2.59544;
47; -60; -26;7.78723;4.74468;-21;-15;65.8444;-2.72071;
48; -81; -41;5.9375;3.79167;-10;-4;91.2834;-2.66469;
49; -91; -45;3.95918;2.79592;-1;3;102.009;-2.67485;
50; -92; -42;2.04;1.9;-5;-7;101.6;-2.70565;
51; -97; -49;0.0980392;0.901961;1.83694e-023;1.52044e-052;109.171;-2.66686;
