time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; 44; 132;44;132;-11;10;138.806;1.25092;
2; 33; 142;38.5;137;-19;9;145.475;1.34445;
3; 14; 151;30.3333;141.667;-23;10;151.381;1.48052;
4; -9; 161;20.5;146.5;-20;4;161.037;1.62891;
5; -29; 165;10.6;150.2;-29;2;167.359;1.7471;
6; -58; 167;-0.833333;153;-18;-11;176.679;1.90739;
7; -76; 156;-11.5714;153.429;-21;-21;173.472;2.02656;
8; -97; 135;-22.25;151.125;-22;-25;166.25;2.19639;
9; -119; 110;-33;146.556;-11;-26;162.152;2.39802;
10; -130; 84;-42.7;140.3;9;-32;154.946;2.57044;
11; -121; 52;-49.8182;132.273;16;-18;131.932;2.7384;
12; -105; 34;-54.4167;124.083;28;-12;110.631;2.83144;
13; -77; 22;-56.1538;116.231;36;-1;80.3566;2.86732;
14; -41; 21;-55.0714;109.429;38;12;46.2735;2.67624;
15; -3; 33;-51.6;104.333;31;15;32.9358;1.67278;
16; 28; 48;-46.625;100.813;38;31;55.189;1.0461;
17; 66; 79;-40;99.5294;13;26;102.535;0.875985;
18; 79; 105;-33.3889;99.8333;2;19;131;0.926846;
19; 81; 124;-27.3684;101.105;-4;7;147.722;0.993286;
20; 77; 131;-22.15;102.6;-7;2;151.572;1.04063;
21; 70; 133;-17.7619;104.048;-4;-2;149.924;1.08767;
22; 66; 131;-13.9545;105.273;-14;-44;146.318;1.10553;
23; 52; 87;-11.087;104.478;-7;-46;100.973;1.03387;
24; 45; 41;-8.75;101.833;-11;-61;60.4576;0.739975;
25; 34; -20;-7.04;96.96;-12;-75;39.2631;-0.541447;
26; 22; -95;-5.92308;89.5769;-9;-75;97.6645;-1.34729;
27; 13; -170;-5.22222;79.963;-3;-71;170.704;-1.49664;
28; 10; -241;-4.67857;68.5;6;-49;241.428;-1.53083;
29; 16; -290;-3.96552;56.1379;5;-20;290.657;-1.51694;
30; 21; -310;-3.13333;43.9333;6;-17;310.922;-1.50434;
31; 27; -327;-2.16129;31.9677;0;-3;328.318;-1.48954;
32; 27; -330;-1.25;20.6563;0;2;331.309;-1.49028;
33; 27; -328;-0.393939;10.0909;-2;3;329.315;-1.48979;
34; 25; -325;0.352941;0.235294;-0.5;21.9412;326.168;-1.49516;
