time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; 22; 115;22;115;1;10;116.269;1.38318;
2; 23; 125;22.5;120;-1;13;126.283;1.39017;
3; 22; 138;22.3333;126;-13;9;138.931;1.41407;
4; 9; 147;19;131.25;-15;10;146.486;1.51147;
5; -6; 157;14;136.4;-19;7;156.356;1.61119;
6; -25; 164;7.5;141;-33;-4;165.18;1.72466;
7; -58; 160;-1.85714;143.714;-23;-19;169.571;1.92186;
8; -81; 141;-11.75;143.375;-31;-48;162.099;2.09628;
9; -112; 93;-22.8889;137.778;-40;-38;145.329;2.45408;
10; -152; 55;-35.8;129.5;-19;-35;161.68;2.79956;
11; -171; 20;-48.0909;119.545;18;-20;172.39;3.02982;
12; -153; 0;-56.8333;109.583;38;-13;153.316;-3.13656;
13; -115; -13;-61.3077;100.154;54;-1;116.134;-3.02273;
14; -61; -14;-61.2857;92;41;7;63.0685;-2.90518;
15; -20; -7;-58.5333;85.4;35;22;21.7501;-2.77621;
16; 15; 15;-53.9375;81;30;36;20.448;0.769589;
17; 45; 51;-48.1176;79.2353;20;32;67.2289;0.84373;
18; 65; 83;-41.8333;79.4444;4;19;104.622;0.904244;
19; 69; 102;-36;80.6316;-4;9;122.331;0.974632;
20; 65; 111;-30.95;82.15;-9;15;127.807;1.04012;
21; 56; 126;-26.8095;84.2381;-6;-12;137.051;1.15238;
22; 50; 114;-23.3182;85.5909;4;-22;123.65;1.15729;
23; 54; 92;-19.9565;85.8696;-5;-48;105.853;1.03889;
24; 49; 44;-17.0833;84.125;-9;-82;65.1077;0.726096;
25; 40; -38;-14.8;79.24;-5;-68;55.4813;-0.773745;
26; 35; -106;-12.8846;72.1154;-5;-49;112.264;-1.25669;
27; 30; -155;-11.2963;63.7037;1;-39;158.575;-1.38248;
28; 31; -194;-9.78571;54.5;5;-19;197.174;-1.41453;
29; 36; -213;-8.2069;45.2759;5;-1;216.73;-1.40539;
30; 41; -214;-6.56667;36.6333;3;-3;218.591;-1.38358;
31; 44; -217;-4.93548;28.4516;0;0;222.11;-1.37282;
32; 44; -217;-3.40625;20.7813;-1;-1;222.11;-1.37282;
33; 43; -218;-2;13.5455;-3;1;222.897;-1.3781;
34; 40; -217;-0.764706;6.76471;-3;14;221.358;-1.39054;
35; 37; -203;0.314286;0.771429;-0.114286;13.9429;207.047;-1.39267;
