time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; 43; 122;43;122;-10;18;129.029;1.23755;
2; 33; 140;38;131;-15;17;143.59;1.34457;
3; 18; 157;31.3333;139.667;-19;23;157.872;1.46159;
4; -1; 180;23.25;149.75;-21;7;179.94;1.58076;
5; -22; 187;14.2;157.2;-28;-1;188.316;1.69213;
6; -50; 186;3.5;162;-34;-18;192.744;1.83747;
7; -84; 168;-9;162.857;-41;-32;188.124;2.03838;
8; -125; 136;-23.5;159.5;-19;-53;185.206;2.31748;
9; -144; 83;-36.8889;151;-3;-44;166.861;2.62145;
10; -147; 39;-47.9;139.8;18;-19;152.835;2.88403;
11; -129; 20;-55.2727;128.909;58;-9;131.314;2.98922;
12; -71; 11;-56.5833;119.083;52;4;72.6205;2.9905;
13; -19; 15;-53.6923;111.077;62;30;24.7932;2.49531;
14; 43; 45;-46.7857;106.357;43;46;61.6459;0.81665;
15; 86; 91;-37.9333;105.333;28;27;124.614;0.817885;
16; 114; 118;-28.4375;106.125;0;13;163.473;0.805834;
17; 114; 131;-20.0588;107.588;-3;-5;173.086;0.85787;
18; 111; 126;-12.7778;108.611;-22;-25;167.345;0.851889;
19; 89; 101;-7.42105;108.211;-25;-83;134.043;0.852571;
20; 64; 18;-3.85;103.7;-20;-64;65.7011;0.276425;
21; 44; -46;-1.57143;96.5714;-16;-75;63.16;-0.817446;
22; 28; -121;-0.227273;86.6818;-13;-69;124.088;-1.34975;
23; 15; -190;0.434783;74.6522;-9;-42;190.599;-1.49619;
24; 6; -232;0.666667;61.875;-3;-36;232.127;-1.54836;
25; 3; -268;0.76;48.68;0;-39;268.078;-1.56256;
26; 3; -307;0.846154;35;-2;0;307.077;-1.56361;
27; 1; -307;0.851852;22.3333;-1;4;307.069;-1.57012;
28; 0; -303;0.821429;10.7143;0;5;303.07;-1.57341;
29; 0; -298;0.793103;0.0689655;-5.7303e-315;-27;298.07;-1.57346;
