time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -25; 149;-25;149;1;-2;150.959;1.74373;
2; -24; 147;-24.5;148;-3;-2;148.818;1.73942;
3; -27; 145;-25.3333;147;1;2;147.387;1.76177;
4; -26; 147;-25.5;147;3;0;149.167;1.75264;
5; -23; 147;-25;147;16;-6;148.654;1.73279;
6; -7; 141;-22;146;23;-13;140.933;1.62742;
7; 16; 128;-16.5714;143.429;16;-16;128.588;1.45369;
8; 32; 112;-10.5;139.5;14;-26;115.935;1.29989;
9; 46; 86;-4.22222;133.556;6;-19;96.8139;1.08709;
10; 52; 67;1.4;126.9;-1;-23;83.9843;0.917828;
11; 51; 44;5.90909;119.364;-11;-18;66.4287;0.718105;
12; 40; 26;8.75;111.583;-23;-19;46.7308;0.582502;
13; 17; 7;9.38462;103.538;-43;-19;17.3715;0.396411;
14; -26; -12;6.85714;95.2857;-37;-11;29.6445;-2.71401;
15; -63; -23;2.2;87.4;-9;3;68.084;-2.79242;
16; -72; -20;-2.4375;80.6875;-14;11;75.7445;-2.87037;
17; -86; -9;-7.35294;75.4118;1;5;87.4706;-3.03515;
18; -85; -4;-11.6667;71;0;0;86.0827;-3.09171;
19; -85; -4;-15.5263;67.0526;-5;5;86.0827;-3.09171;
20; -90; 1;-19.25;63.75;1;2;90.9784;3.13382;
21; -89; 3;-22.5714;60.8571;1;2;90.0163;3.11151;
22; -88; 5;-25.5455;58.3182;2;1;89.1;3.08874;
23; -86; 6;-28.1739;56.0435;4;-14;87.1627;3.07607;
24; -82; -8;-30.4167;53.375;8;-11;83.389;-3.04198;
25; -74; -19;-32.16;50.48;22;-20;77.418;-2.88974;
26; -52; -39;-32.9231;47.0385;14;-27;65.957;-2.50342;
27; -38; -66;-33.1111;42.8519;20;-28;76.9014;-2.1023;
28; -18; -94;-32.5714;37.9643;19;-17;96.1831;-1.76939;
29; 1; -111;-31.4138;32.8276;21;-14;111.293;-1.57058;
30; 22; -125;-29.6333;27.5667;24;-12;127.044;-1.40454;
31; 46; -137;-27.1935;22.2581;9;8;144.487;-1.2539;
32; 55; -129;-24.625;17.5313;8;7;140.126;-1.175;
33; 63; -122;-21.9697;13.303;10;15;137.122;-1.10142;
34; 73; -107;-19.1765;9.76471;12;28;129.226;-0.979601;
35; 85; -79;-16.2;7.22857;16;30;115.531;-0.756434;
36; 101; -49;-12.9444;5.66667;1;8;111.511;-0.457876;
37; 102; -41;-9.83784;4.40541;0;3;109.138;-0.388018;
38; 102; -38;-6.89474;3.28947;0;1;108.038;-0.362311;
39; 102; -37;-4.10256;2.25641;0;2;107.688;-0.353628;
40; 102; -35;-1.45;1.325;-4;-6;107.012;-0.336094;
41; 98; -41;0.97561;0.292683;1.34196e-023;4.06173e-086;105.446;-0.402371;
