time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -120; 131;-120;131;6;2;177.533;2.31685;
2; -114; 133;-117;132;7;0;175.024;2.28392;
3; -107; 133;-113.667;132.333;29;-3;170.527;2.25286;
4; -78; 130;-104.75;131.75;39;-3;151.328;2.11617;
5; -39; 127;-91.6;130.8;52;-1;132.404;1.87374;
6; 13; 126;-74.1667;130;54;-5;125.997;1.47142;
7; 67; 121;-54;128.714;10;0;137.522;1.06608;
8; 77; 121;-37.625;127.75;-2;1;142.627;1.00467;
9; 75; 122;-25.1111;127.111;-3;-1;142.415;1.02029;
10; 72; 121;-15.4;126.5;-2;-1;140.009;1.03482;
11; 70; 120;-7.63636;125.909;-2;-2;138.133;1.04357;
12; 68; 118;-1.33333;125.25;4;-4;135.4;1.0489;
13; 72; 114;4.30769;124.385;-18;-23;134.038;1.00814;
14; 54; 91;7.85714;122;-43;-47;105.023;1.0363;
15; 11; 44;8.06667;116.8;-37;-39;44.6278;1.33329;
16; -26; 5;5.9375;109.813;-21;-35;26.8587;2.97797;
17; -47; -30;2.82353;101.588;-5;-5;56.5167;-2.56893;
18; -52; -35;-0.222222;94;-2;-4;63.446;-2.54539;
19; -54; -39;-3.05263;87;0;0;67.3824;-2.51293;
20; -54; -39;-5.6;80.7;0;1;67.3824;-2.51293;
21; -54; -38;-7.90476;75.0476;-4;-1;66.7993;-2.52504;
22; -58; -39;-10.1818;69.8636;1;-1;70.6569;-2.54623;
23; -57; -40;-12.2174;65.087;3;2;70.4034;-2.5265;
24; -54; -38;-13.9583;60.7917;6;8;66.7993;-2.52504;
25; -48; -30;-15.32;57.16;32;10;57.3597;-2.57837;
26; -16; -20;-15.3462;54.1923;39;11;26.4129;-2.24554;
27; 23; -9;-13.9259;51.8519;35;-4;24.4722;-0.404221;
28; 58; -13;-11.3571;49.5357;16;-2;59.0922;-0.232665;
29; 74; -15;-8.41379;47.3103;16;-22;75.1425;-0.209467;
30; 90; -37;-5.13333;44.5;14;-36;97.087;-0.39796;
31; 104; -73;-1.6129;40.7097;-2;-26;127.015;-0.618305;
32; 102; -99;1.625;36.3438;-14;-21;142.223;-0.776076;
33; 88; -120;4.24242;31.6061;-26;-20;149.019;-0.943233;
34; 62; -140;5.94118;26.5588;-24;-9;153.485;-1.15853;
35; 38; -149;6.85714;21.5429;-26;-3;154.253;-1.32523;
36; 12; -152;7;16.7222;-48;3;153.058;-1.49559;
37; -36; -149;5.83784;12.2432;-20;4;154.013;-1.81007;
38; -56; -145;4.21053;8.10526;-12;3;156.201;-1.9409;
39; -68; -142;2.35897;4.25641;-4;1;158.222;-2.01854;
40; -72; -141;0.5;0.625;4.42322e-062;4.5933e-072;159.103;-2.04393;
