time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -81; 302;-81;302;30;-4;312.761;1.83443;
2; -51; 298;-66;300;56;-5;302.374;1.74196;
3; 5; 293;-42.3333;297.667;61;1;292.989;1.55545;
4; 66; 294;-15.25;296.75;61;4;301.163;1.35157;
5; 127; 298;13.2;297;40;5;323.695;1.16931;
6; 167; 303;38.8333;298;3;-3;345.692;1.06828;
7; 170; 300;57.5714;298.286;0;-1;344.531;1.05645;
8; 170; 299;71.625;298.375;0;-1;343.661;1.05502;
9; 170; 298;82.5556;298.333;0;1;342.792;1.05358;
10; 170; 299;91.3;298.4;-3;-1;343.661;1.05502;
11; 167; 298;98.1818;298.364;-26;-18;341.318;1.06122;
12; 141; 280;101.75;296.833;-24;-15;313.231;1.10567;
13; 117; 265;102.923;294.385;-45;-24;289.435;1.15655;
14; 72; 241;100.714;290.571;-52;-28;251.338;1.28235;
15; 20; 213;95.3333;285.4;-25;-15;213.845;1.4795;
16; -5; 198;89.0625;279.938;-10;-4;198.031;1.59859;
17; -15; 194;82.9412;274.882;-3;-3;194.574;1.65056;
18; -18; 191;77.3333;270.222;-1;-1;191.849;1.6674;
19; -19; 190;72.2632;266;0;0;190.954;1.67311;
20; -19; 190;67.7;262.2;7;2;190.954;1.67311;
21; -12; 192;63.9048;258.857;2;3;192.362;1.63584;
22; -10; 195;60.5455;255.955;13;1;195.238;1.62462;
23; 3; 196;58.0435;253.348;38;-1;195.971;1.55806;
24; 41; 195;57.3333;250.917;62;-3;199.116;1.36599;
25; 103; 192;59.16;248.56;74;-11;217.606;1.08035;
26; 177; 181;63.6923;245.962;30;-8;252.776;0.797871;
27; 207; 173;69;243.259;14;-11;269.359;0.697233;
28; 221; 162;74.4286;240.357;5;-11;273.584;0.633508;
29; 226; 151;79.6552;237.276;1;-19;271.359;0.589916;
30; 227; 132;84.5667;233.767;-2;-38;262.131;0.527521;
31; 225; 94;89.0968;229.258;-17;-79;243.364;0.396364;
32; 208; 15;92.8125;222.563;-21;-44;208.034;0.0719486;
