time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; -86; 64;-86;64;-6;-1;107.452;2.51047;
2; -92; 63;-89;63.5;-2;6;111.791;2.54937;
3; -94; 69;-90.6667;65.3333;3;-1;116.864;2.51632;
4; -91; 68;-90.75;66;7;-2;113.85;2.50802;
5; -84; 66;-89.4;66;24;-5;107.054;2.48436;
6; -60; 61;-84.5;65.1667;43;-2;85.6705;2.35909;
7; -17; 59;-74.8571;64.2857;41;1;61.0413;1.8659;
8; 24; 60;-62.5;63.75;51;14;63.7893;1.19778;
9; 75; 74;-47.2222;64.8889;26;2;104.406;0.779681;
10; 101; 76;-32.4;66;16;2;125.439;0.644888;
11; 117; 78;-18.8182;67.0909;3;-2;139.658;0.587435;
12; 120; 76;-7.25;67.8333;0;-1;141.086;0.563849;
13; 120; 75;2.53846;68.3846;-1;-1;140.554;0.557835;
14; 119; 74;10.8571;68.7857;-2;4;139.177;0.555543;
15; 117; 78;17.9333;69.4;-1;-1;139.658;0.587435;
16; 116; 77;24.0625;69.875;-1;-3;138.272;0.585424;
17; 115; 74;29.4118;70.1176;-3;-3;135.795;0.571079;
18; 112; 71;34;70.1667;-10;-7;131.652;0.564225;
19; 102; 64;37.5789;69.8421;-33;-12;119.46;0.559475;
20; 69; 52;39.15;68.95;-29;-10;85.4391;0.645538;
21; 40; 42;39.1905;67.6667;-29;-12;57.0481;0.812123;
22; 11; 30;37.9091;65.9545;-20;-6;31.1369;1.23546;
23; -9; 24;35.8696;64.1304;-4;-7;25.3536;1.96567;
24; -13; 17;33.8333;62.1667;-1;2;21.4055;2.26856;
25; -14; 19;31.92;60.44;0;2;23.5863;2.24657;
26; -14; 21;30.1538;58.9231;1;1;25.1779;2.19686;
27; -13; 22;28.5556;57.5556;1;1;25.4406;2.14195;
28; -12; 23;27.1071;56.3214;0;0;25.7783;2.08832;
29; -12; 23;25.7586;55.1724;-1;-4;25.7783;2.08832;
30; -13; 19;24.4667;53.9667;0;2;22.9741;2.2126;
31; -13; 21;23.2581;52.9032;0;0;24.6052;2.16392;
32; -13; 21;22.125;51.9063;1;2;24.6052;2.16392;
33; -12; 23;21.0909;51.0303;0;0;25.7783;2.08832;
34; -12; 23;20.1176;50.2059;1;0;25.7783;2.08832;
35; -11; 23;19.2286;49.4286;-2;-3;25.2985;2.05396;
36; -13; 20;18.3333;48.6111;-1;1;23.7826;2.18743;
37; -14; 21;17.4595;47.8649;1;1;25.1779;2.19686;
38; -13; 22;16.6579;47.1842;0;1;25.4406;2.14195;
39; -13; 23;15.8974;46.5641;1;1;26.2874;2.12138;
40; -12; 24;15.2;46;0;-2;26.652;2.06975;
41; -12; 22;14.5366;45.4146;-4;-1;24.9142;2.10818;
42; -16; 21;13.8095;44.8333;0;0;26.3996;2.25829;
43; -16; 21;13.1163;44.2791;1;2;26.3996;2.25829;
44; -15; 23;12.4773;43.7955;2;1;27.3869;2.18366;
45; -13; 24;11.9111;43.3556;1;-1;27.1447;2.10211;
46; -12; 23;11.3913;42.913;0;-2;25.7783;2.08832;
47; -12; 21;10.8936;42.4468;-4;-2;24.0606;2.12945;
48; -16; 19;10.3333;41.9583;-1;-5;24.8863;2.30931;
49; -17; 14;9.77551;41.3878;-9;-15;22.2443;2.49494;
50; -26; -1;9.06;40.54;-12;-9;26.8009;-3.08195;
51; -38; -10;8.13725;39.549;-11;-12;40.1761;-2.87466;
52; -49; -22;7.03846;38.3654;-11;-11;54.6446;-2.71526;
53; -60; -33;5.77358;37.0189;-20;-8;69.4244;-2.63644;
54; -80; -41;4.18519;35.5741;-7;-2;90.8374;-2.66592;
55; -87; -43;2.52727;34.1455;-1;0;97.9866;-2.68049;
56; -88; -43;0.910714;32.7679;1;0;98.8831;-2.68499;
57; -87; -43;-0.631579;31.4386;2;-1;97.9866;-2.68049;
58; -85; -44;-2.08621;30.1379;1;-1;96.6569;-2.66202;
59; -84; -45;-3.47458;28.8644;5;6;96.2405;-2.64801;
60; -79; -39;-4.73333;27.7333;20;12;89.0423;-2.68075;
61; -59; -27;-5.62295;26.8361;22;7;65.8184;-2.70892;
62; -37; -20;-6.12903;26.0806;28;0;43.0065;-2.64215;
63; -9; -20;-6.1746;25.3492;22;-4;22.7899;-2.01304;
64; 13; -24;-5.875;24.5781;30;-11;27.4775;-1.10884;
65; 43; -35;-5.12308;23.6615;18;-12;55.2446;-0.700186;
66; 61; -47;-4.12121;22.5909;20;-14;76.7801;-0.668639;
67; 81; -61;-2.85075;21.3433;18;-20;101.162;-0.65467;
68; 99; -81;-1.35294;19.8382;4;-16;127.713;-0.693085;
69; 103; -97;0.15942;18.1449;0;-21;141.349;-0.762137;
70; 103; -118;1.62857;16.2;-17;-20;156.588;-0.8593;
71; 86; -138;2.8169;14.0282;-33;-9;162.715;-1.01937;
72; 53; -147;3.51389;11.7917;-67;-19;156.572;-1.23058;
73; -14; -166;3.27397;9.35616;-22;0;167.249;-1.65912;
74; -36; -166;2.74324;6.98649;-8;1;170.603;-1.78793;
75; -44; -165;2.12;4.69333;-4;5;171.538;-1.83474;
76; -48; -160;1.46053;2.52632;-5;14;167.834;-1.86553;
77; -53; -146;0.753247;0.597403;0;0;156.142;-1.92225;
