time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; 47; 116;47;116;2;10;124.514;1.1842;
2; 49; 126;48;121;-8;13;134.543;1.19846;
3; 41; 139;45.6667;127;-17;10;144.257;1.283;
4; 24; 149;40.25;132.5;-18;7;150.245;1.41073;
5; 6; 156;33.4;137.2;-31;15;155.438;1.53253;
6; -25; 171;23.6667;142.833;-29;3;172.157;1.71685;
7; -54; 174;12.5714;147.286;-23;-4;181.558;1.8731;
8; -77; 170;1.375;150.125;-16;-11;186.032;1.99786;
9; -93; 159;-9.11111;151.111;-20;-15;183.645;2.10215;
10; -113; 144;-19.5;150.4;-15;-22;182.546;2.23867;
11; -128; 122;-29.3636;147.818;-10;-37;176.401;2.38317;
12; -138; 85;-38.4167;142.583;4;-35;161.77;2.59327;
13; -134; 50;-45.7692;135.462;14;-41;142.84;2.78902;
14; -120; 9;-51.0714;126.429;33;-15;120.342;3.07237;
15; -87; -6;-53.4667;117.6;29;0;87.3096;-3.06506;
16; -58; -6;-53.75;109.875;46;11;58.4366;-3.0271;
17; -12; 5;-51.2941;103.706;47;44;12.8062;2.79715;
18; 35; 49;-46.5;100.667;20;32;59.6361;0.944699;
19; 55; 81;-41.1579;99.6316;14;27;97.3193;0.970855;
20; 69; 108;-35.65;100.05;2;20;127.562;0.999777;
21; 71; 128;-30.5714;101.381;-6;7;145.756;1.06244;
22; 65; 135;-26.2273;102.909;-5;3;149.201;1.12043;
23; 60; 138;-22.4783;104.435;1;-3;149.838;1.1592;
24; 61; 135;-19;105.708;-1;-20;147.504;1.14485;
25; 60; 115;-15.84;106.08;-7;-37;129.087;1.08786;
26; 53; 78;-13.1923;105;-6;-72;93.7141;0.970395;
27; 47; 6;-10.963;101.333;-5;-74;47.2469;0.112931;
28; 42; -68;-9.07143;95.2857;-7;-112;80.4724;-1.02249;
29; 35; -180;-7.55172;85.7931;-12;-60;184.024;-1.37974;
30; 23; -240;-6.53333;74.9333;-2;-41;241.767;-1.47574;
31; 21; -281;-5.64516;63.4516;3;-30;282.453;-1.49657;
32; 24; -311;-4.71875;51.75;6;-21;312.594;-1.49412;
33; 30; -332;-3.66667;40.1212;1;1;334.021;-1.48102;
34; 31; -331;-2.64706;29.2059;0;2;333.116;-1.47776;
35; 31; -329;-1.68571;18.9714;0;4;331.125;-1.4772;
36; 31; -325;-0.777778;9.41667;-1;11;327.143;-1.47606;
37; 30; -314;0.0540541;0.675676;0;0;316.097;-1.47592;
