time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;
1; 20; 266;20;266;-13;9;266.562;1.49794;
2; 7; 275;13.5;270.5;-12;8;274.929;1.5475;
3; -5; 283;7.33333;274.667;-17;5;282.91;1.59058;
4; -22; 288;0;278;-29;-6;288.74;1.64914;
5; -51; 282;-10.2;278.8;-15;-9;286.539;1.75185;
6; -66; 273;-19.5;277.833;-22;-25;280.865;1.81019;
7; -88; 248;-29.2857;273.571;-14;-37;263.214;1.9141;
8; -102; 211;-38.375;265.75;-3;-33;234.491;2.02365;
9; -105; 178;-45.7778;256;21;-31;206.841;2.10659;
10; -84; 147;-49.6;245.1;56;-12;169.478;2.09342;
11; -28; 135;-47.6364;235.091;33;18;137.854;1.77976;
12; 5; 153;-43.25;228.25;37;22;152.918;1.542;
13; 42; 175;-36.6923;224.154;20;28;179.69;1.33829;
14; 62; 203;-29.6429;222.643;13;24;211.944;1.27687;
15; 75; 227;-22.6667;222.933;-1;8;238.745;1.25387;
16; 74; 235;-16.625;223.688;-4;0;246.059;1.26787;
17; 70; 235;-11.5294;224.353;-8;-11;244.895;1.28346;
18; 62; 224;-7.44444;224.333;-17;-34;232.124;1.30308;
19; 45; 190;-4.68421;222.526;-20;-73;194.978;1.34105;
20; 25; 117;-3.2;217.25;-21;-82;119.376;1.36492;
21; 4; 35;-2.85714;208.571;-9;-93;35.0206;1.47346;
22; -5; -58;-2.95455;196.455;0;-32;58.4139;-1.66676;
23; -5; -90;-3.04348;184;4;-17;90.3187;-1.6328;
24; -1; -107;-2.95833;171.875;4;-3;107.157;-1.5857;
25; 3; -110;-2.72;160.6;0;1;110.171;-1.54898;
26; 3; -109;-2.5;150.231;-2;-1;109.172;-1.54878;
27; 1; -110;-2.37037;140.593;1;-1;110.146;-1.56714;
28; 2; -111;-2.21429;131.607;0;1;111.154;-1.55817;
29; 2; -110;-2.06897;123.276;1;1;110.154;-1.55806;
30; 3; -109;-1.9;115.533;0;1;109.172;-1.54878;
31; 3; -108;-1.74194;108.323;0;0;108.172;-1.54858;
32; 3; -108;-1.59375;101.563;-1;-2;108.172;-1.54858;
33; 2; -110;-1.48485;95.1515;0;0;110.154;-1.55806;
34; 2; -110;-1.38235;89.1176;1;0;110.154;-1.55806;
35; 3; -110;-1.25714;83.4286;0;1;110.171;-1.54898;
36; 3; -109;-1.13889;78.0833;0;1;109.172;-1.54878;
37; 3; -108;-1.02703;73.0541;0;0;108.172;-1.54858;
38; 3; -108;-0.921053;68.2895;-1;-2;108.172;-1.54858;
39; 2; -110;-0.846154;63.7179;0;0;110.154;-1.55806;
40; 2; -110;-0.775;59.375;1;1;110.154;-1.55806;
41; 3; -109;-0.682927;55.2683;0;1;109.172;-1.54878;
42; 3; -108;-0.595238;51.381;0;0;108.172;-1.54858;
43; 3; -108;-0.511628;47.6744;-1;0;108.172;-1.54858;
44; 2; -108;-0.454545;44.1364;0;-3;108.154;-1.55782;
45; 2; -111;-0.4;40.6889;0;1;111.154;-1.55817;
46; 2; -110;-0.347826;37.413;1;1;110.154;-1.55806;
47; 3; -109;-0.276596;34.2979;0;1;109.172;-1.54878;
48; 3; -108;-0.208333;31.3333;0;1;108.172;-1.54858;
49; 3; -107;-0.142857;28.5102;-1;-3;107.172;-1.54837;
50; 2; -110;-0.1;25.74;0;1;110.154;-1.55806;
51; 2; -109;-0.0588235;23.098;1;0;109.154;-1.55794;
52; 3; -109;0;20.5577;0;1;109.172;-1.54878;
53; 3; -108;0.0566038;18.1321;0;1;108.172;-1.54858;
54; 3; -107;0.111111;15.8148;0;1;107.172;-1.54837;
55; 3; -106;0.163636;13.6;0;-3;106.172;-1.54816;
56; 3; -109;0.214286;11.4107;1;1;109.172;-1.54878;
57; 4; -108;0.280702;9.31579;0;1;108.199;-1.53934;
58; 4; -107;0.344828;7.31034;1;2;107.199;-1.53904;
59; 5; -105;0.423729;5.40678;-1;1;105.237;-1.52894;
60; 4; -104;0.483333;3.58333;0;2;104.201;-1.53813;
61; 4; -102;0.540984;1.85246;0;-2;102.202;-1.53749;
62; 4; -104;0.596774;0.145161;0;0;104.201;-1.53813;
