time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;row_13;row_14;row_15;row_16;row_17;row_18;
1;-296;190;-296;190;-152.175;125.407;-428.667;367.667;352.357;2.57302;-152.175;125.407;190.318;2.43899;-428.667;367.667;541.026;2.41768;
2;-261;190;-261;190;-133.68;123.21;-376.333;361.333;323.413;2.51472;-133.68;123.21;175.085;2.38027;-376.333;361.333;498.521;2.35763;
3;-182;181;-182;181;-114.284;120.01;-329;352.667;257.137;2.36224;-114.284;120.01;159.221;2.31072;-329;352.667;459.694;2.29824;
4;-104;171;-104;171;-91.3996;115.897;-288;343.667;200.383;2.12186;-91.3996;115.897;141.461;2.21069;-288;343.667;426.421;2.24044;
5;-40;155;-40;155;-50.2671;109.743;-170;327;160.04;1.82935;-50.2671;109.743;115.739;1.95457;-170;327;349.896;2.00337;
6;19;144;19;144;-12.9766;104.08;-58;310.667;144.853;1.44565;-12.9766;104.08;101.837;1.63019;-58;310.667;303.322;1.68538;
7;58;140;58;140;11.0428;98.3956;15.6667;293;150.93;1.18296;11.0428;98.3956;97.6419;1.38565;15.6667;293;286.333;1.43422;
8;75;141;75;141;24.8059;90.6273;62.3333;268.333;159.028;1.08622;24.8059;90.6273;93.7411;1.2254;62.3333;268.333;272.796;1.25141;
9;39;128;39;128;28.3487;75.7189;80.3333;223.667;133.276;1.28104;28.3487;75.7189;81.3456;1.12219;80.3333;223.667;238.081;1.12035;
10;36;97;36;97;24.7576;54.2216;76;164;102.885;1.22286;24.7576;54.2216;60.7239;1.02176;76;164;183.81;0.999958;
11;14;21;14;21;18.199;25.3719;59.3333;85.3333;24.5032;1.0077;18.199;25.3719;34.0331;0.740054;59.3333;85.3333;112.283;0.74349;
12;6;-35;6;-35;11.7157;-9.94082;38;-13.3333;35.6439;-1.42779;11.7157;-9.94082;22.3738;-0.585454;38;-13.3333;65.3747;-0.354071;
13;8;-96;8;-96;9.194;-47.7973;30;-122.333;96.54;-1.49739;9.194;-47.7973;52.7454;-1.26009;30;-122.333;142.053;-1.18602;
14;11;-155;11;-155;8.57325;-84.352;25.6667;-231.667;155.607;-1.50597;8.57325;-84.352;88.1488;-1.39398;25.6667;-231.667;245.928;-1.37027;
15;15;-199;15;-199;10.2696;-115.218;29.3333;-323.667;199.777;-1.50026;10.2696;-115.218;118.892;-1.4256;29.3333;-323.667;337.137;-1.41398;
16;23;-231;23;-231;12.569;-139.23;35.6667;-397;232.332;-1.47562;12.569;-139.23;142.989;-1.43399;35.6667;-397;410.592;-1.42664;
17;25;-255;25;-255;14.5092;-155.039;41.3333;-447.333;256.413;-1.47675;14.5092;-155.039;158.915;-1.43546;41.3333;-447.333;461.221;-1.43016;
18;25;-255;-89;-13;3.79624;-139.091;8;-400;256.413;-1.47675;3.79624;-139.091;141.92;-1.49513;8;-400;410.53;-1.49443;
19;25;-247;-19;-10;-2.23232;-113.409;-3.33333;-337;248.45;-1.47372;-2.23232;-113.409;115.927;-1.53024;-3.33333;-337;346.91;-1.51315;
20;-89;-13;81;-10;2.22306;-82.8433;16;-263.333;90.8954;-2.99497;2.22306;-82.8433;85.7559;-1.46383;16;-263.333;275.487;-1.42758;
21;-19;-10;145;-15;16.5855;-52.689;56;-183.333;22.4162;-2.66518;16.5855;-52.689;59.9196;-1.16746;56;-183.333;208.356;-1.18025;
22;81;-10;193;-15;39.7122;-27.3784;112;-103.333;80.7371;-0.127673;39.7122;-27.3784;55.3514;-0.568531;112;-103.333;176.083;-0.694304;
23;145;-15;0;0;67.5485;-8.85018;175.667;-26;144.888;-0.105657;67.5485;-8.85018;75.3288;-0.15021;175.667;-26;202.099;-0.175735;
24;193;-15;0;0;86.7948;-8.70477;232.333;-25;192.687;-0.079383;86.7948;-8.70477;94.3851;-0.118167;232.333;-25;257.948;-0.133498;
25;216;-15;0;0;114.694;-9.76959;324.333;-28.3333;215.622;-0.0709242;0;0;0;0;0;0;0;0;
