time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    1.1790;   -0.1879;    0.4052;   -0.2522;   -0.0413;   -0.4293;    0.0813;    0.1080;   -0.1407;   -0.1240;   -0.0906;    0.1905;
   2;    1.2775;   -0.1882;    0.3002;   -0.1640;   -0.1630;   -0.3816;    0.1187;    0.0289;   -0.0376;   -0.1901;   -0.1295;    0.1747;
   3;    1.3209;   -0.2543;    0.2517;   -0.0917;   -0.1786;   -0.3179;    0.1149;   -0.0308;   -0.0075;   -0.2959;   -0.1210;    0.2335;
   4;    1.1823;   -0.3370;    0.3353;   -0.2121;   -0.0742;   -0.2962;    0.0763;   -0.0370;   -0.0862;   -0.2969;   -0.0566;    0.3370;
   5;    1.1492;   -0.4073;    0.3340;   -0.2867;   -0.0718;   -0.2792;    0.0372;   -0.0243;   -0.0938;   -0.3465;   -0.0642;    0.3673;
   6;    1.2086;   -0.4307;    0.3134;   -0.2822;   -0.0737;   -0.1904;    0.0201;   -0.0194;   -0.1358;   -0.4204;   -0.0651;    0.3324;
   7;    1.1890;   -0.4325;    0.2872;   -0.2155;   -0.0326;   -0.0733;   -0.0920;   -0.0201;   -0.2155;   -0.4252;    0.0390;    0.2539;
   8;    1.2603;   -0.5248;    0.3818;   -0.2371;    0.0478;   -0.0238;   -0.1798;   -0.0263;   -0.2651;   -0.4124;    0.0804;    0.2386;
   9;    1.4140;   -0.6940;    0.5241;   -0.2408;    0.1376;    0.0112;   -0.2786;   -0.0470;   -0.2688;   -0.3951;    0.0765;    0.2491;
  10;    1.3468;   -0.7367;    0.5582;   -0.2048;    0.2202;   -0.0175;   -0.3449;   -0.0559;   -0.2394;   -0.3603;    0.0519;    0.2370;
  11;    1.1990;   -0.7249;    0.5043;   -0.0486;    0.2213;   -0.0262;   -0.2932;   -0.1125;   -0.2135;   -0.2934;    0.0015;    0.2002;
  12;    1.2410;   -0.8118;    0.5497;   -0.0662;    0.3353;   -0.0229;   -0.3446;   -0.0917;   -0.2301;   -0.2423;    0.0108;    0.1292;
  13;    1.2623;   -0.7735;    0.5695;   -0.0111;    0.4644;   -0.1162;   -0.3476;   -0.0846;   -0.3076;   -0.1489;    0.0266;    0.0798;
  14;    1.0403;   -0.7228;    0.6198;   -0.0080;    0.5062;   -0.0876;   -0.3881;   -0.0450;   -0.3040;   -0.1879;    0.0661;    0.0499;
  15;    1.0059;   -0.7669;    0.7020;   -0.0363;    0.5346;   -0.0079;   -0.4658;   -0.0561;   -0.2581;   -0.2223;    0.0803;    0.0372;
  16;    1.0643;   -0.7241;    0.6903;   -0.0249;    0.5686;   -0.0534;   -0.4098;   -0.0755;   -0.3099;   -0.1813;    0.0667;    0.0472;
  17;    1.0315;   -0.7061;    0.6259;    0.0872;    0.5536;   -0.0888;   -0.3439;   -0.0518;   -0.3750;   -0.1832;    0.1056;   -0.0016;
  18;    1.2116;   -0.8421;    0.7293;    0.0977;    0.5073;   -0.0671;   -0.3301;   -0.0940;   -0.3570;   -0.1572;    0.0410;    0.0178;
  19;    1.2482;   -0.7821;    0.7279;    0.0517;    0.5326;   -0.1008;   -0.3378;   -0.1232;   -0.3435;   -0.1353;   -0.0143;    0.0431;
