time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;
   1;    0.1651;   -0.9283;    0.4481;   -0.8524;   -0.0513;   -0.2911;   -0.1046;    0.2841;   -0.3461;   -0.2253;    0.0708;    0.1512;
   2;   -0.0135;   -0.8355;    0.3870;   -0.7763;   -0.0335;   -0.3063;   -0.0783;    0.2218;   -0.3508;   -0.2460;    0.0560;    0.2171;
   3;   -0.0516;   -0.8253;    0.3570;   -0.7300;   -0.0073;   -0.2950;   -0.0987;    0.1746;   -0.3480;   -0.2565;    0.0532;    0.2605;
   4;    0.0779;   -0.8844;    0.3568;   -0.7009;    0.0384;   -0.2597;   -0.1446;    0.1246;   -0.3334;   -0.2389;    0.0402;    0.2854;
   5;    0.1035;   -0.8989;    0.3306;   -0.6554;    0.1367;   -0.2594;   -0.1768;    0.1009;   -0.3497;   -0.2531;    0.0528;    0.3179;
   6;    0.0793;   -0.9224;    0.3191;   -0.6075;    0.2265;   -0.2484;   -0.1881;    0.0614;   -0.4016;   -0.2619;    0.0746;    0.3263;
   7;    0.0620;   -0.9393;    0.3165;   -0.5617;    0.2800;   -0.2625;   -0.1895;    0.0151;   -0.4583;   -0.2432;    0.0962;    0.3089;
   8;    0.0949;   -1.0292;    0.3561;   -0.5019;    0.3452;   -0.2707;   -0.2134;   -0.0141;   -0.5050;   -0.2023;    0.1083;    0.2487;
   9;    0.0318;   -1.0406;    0.4086;   -0.4093;    0.4299;   -0.2728;   -0.2520;   -0.0553;   -0.5201;   -0.1584;    0.1027;    0.1462;
  10;   -0.0052;   -1.0235;    0.4445;   -0.3396;    0.4879;   -0.2802;   -0.2963;   -0.0982;   -0.5060;   -0.1094;    0.1005;    0.0727;
  11;    0.0064;   -1.0154;    0.4611;   -0.3002;    0.5054;   -0.3109;   -0.3183;   -0.1085;   -0.5012;   -0.0792;    0.0970;    0.0369;
  12;   -0.0088;   -1.0095;    0.4745;   -0.2426;    0.5141;   -0.3584;   -0.3162;   -0.1041;   -0.4921;   -0.0401;    0.0750;   -0.0153;
  13;   -0.0086;   -0.9602;    0.5293;   -0.2125;    0.5022;   -0.3541;   -0.3014;   -0.1051;   -0.4559;    0.0132;    0.0457;   -0.0742;
  14;   -0.0564;   -0.9368;    0.6014;   -0.1662;    0.5468;   -0.3393;   -0.2824;   -0.0719;   -0.4345;    0.0317;   -0.0018;   -0.1473;
  15;   -0.0933;   -0.9164;    0.6636;   -0.1352;    0.5640;   -0.3580;   -0.2813;   -0.0511;   -0.4425;    0.0373;   -0.0399;   -0.2152;
