time;row_1;row_2;row_3;row_4;
1;-38.5184;85.7505;75.3085;2.05458;
2;-42.6486;78.3765;71.0561;2.15447;
3;-47.5173;70.43;67.6372;2.27961;
4;-51.4575;61.5325;64.0526;2.41716;
5;-56.8664;44.0318;58.9189;2.70438;
6;-58.7245;26.8961;55.7844;3.0011;
7;-55.3362;12.6742;52.2412;-3.01858;
8;-46.1652;2.30871;45.8542;-2.76705;
9;-33.1242;-3.81497;37.451;-2.4837;
10;-19.3123;-6.58268;30.1521;-2.12323;
11;3.01859;11.3641;10.0976;-0.870361;
12;23.3189;31.5029;29.5454;0.4338;
13;40.2994;47.8195;52.3756;0.580731;
14;52.0831;55.8821;66.6514;0.584871;
15;57.6685;50.3887;68.7045;0.473089;
16;57.412;30.6895;61.9977;0.188297;
17;47.7998;-9.37534;58.6564;-0.506584;
18;38.1166;-48.3624;79.2475;-1.01806;
19;34.0081;-64.4011;91.52;-1.14865;
20;26.1492;-95.4236;118.282;-1.31752;
