time;row_1;row_2;row_3;row_4;
1;15.0736;110.908;96.7271;1.35028;
2;9.53092;112.946;97.6797;1.41025;
3;3.54815;113.743;97.6959;1.47204;
4;-5.0669;113.541;97.0229;1.56031;
5;-20.8273;113.56;98.1509;1.72158;
6;-40.3765;107.07;96.8238;1.93283;
7;-60.0007;94.4338;94.7477;2.17615;
8;-77.9108;77.1144;93.9703;2.44084;
9;-89.4393;56.8996;92.6195;2.69051;
10;-87.4622;36.4664;83.7864;2.90126;
11;-75.5518;19.6146;69.5366;3.09712;
12;-54.8405;10.7855;49.0929;-3.02446;
13;-30.3212;10.3279;25.0164;-2.89135;
14;-6.06321;18.7366;2.21376;1.56142;
15;14.0435;35.463;27.6378;0.755015;
16;26.2405;55.5994;50.7134;0.879683;
17;32.9701;73.0827;68.7331;0.96648;
18;35.7083;81.9586;77.6429;1.00242;
19;35.8594;79.31;75.5081;0.981853;
20;33.7792;53.8544;54.6142;0.752614;
21;29.9637;14.6208;36.0978;-0.0527182;
22;25.9184;-30.932;57.2374;-0.977477;
23;22.6086;-77.1262;97.946;-1.27349;
24;19.998;-117.992;137.021;-1.37928;
25;18.2608;-152.372;170.641;-1.42764;
26;17.9873;-173.829;191.868;-1.44501;
27;17.8432;-182.105;200.064;-1.45091;
28;18.1752;-193.037;210.96;-1.45555;
