time;row_1;
1;81.0;
2;82.0;
3;83.0;
4;84.0;
5;85.0;
6;86.0;
7;85.0;
8;84.0;
9;83.0;
10;82.0;
11;81.0;
12;82.0;
13;83.0;
14;84.0;
15;85.0;
16;86.0;
17;85.0;
18;84.0;
19;83.0;
20;82.0;
21;81.0;
22;80.0;
23;79.0;
24;78.0;
25;77.0;
26;76.0;
27;77.0;
28;78.0;
29;79.0;
30;80.0;
31;81.0;
32;80.0;
33;79.0;
34;78.0;
35;77.0;
36;76.0;
37;77.0;
38;78.0;
39;79.0;
40;80.0;
41;81.0;
42;82.0;
43;83.0;
44;84.0;
45;85.0;
46;86.0;
47;85.0;
48;84.0;
49;83.0;
50;82.0;
51;81.0;
52;82.0;
53;83.0;
54;84.0;
55;85.0;
56;86.0;
57;85.0;
58;84.0;
59;83.0;
60;82.0;
61;81.0;
62;80.0;
63;79.0;
64;78.0;
65;77.0;
66;76.0;
67;77.0;
68;78.0;
69;79.0;
70;80.0;
71;81.0;
72;80.0;
73;79.0;
74;78.0;
75;77.0;
76;76.0;
77;77.0;
78;78.0;
79;79.0;
80;80.0;
81;81.0;
82;82.0;
83;83.0;
84;84.0;
85;85.0;
86;86.0;
87;85.0;
88;84.0;
89;83.0;
90;82.0;
91;81.0;
92;82.0;
93;83.0;
94;84.0;
95;85.0;
96;86.0;
97;85.0;
98;84.0;
99;83.0;
100;82.0;
101;81.0;
