time;row_1;row_2;
     1;    1.0388;   -1.0137;
     2;    1.0465;   -1.0206;
     3;    1.0500;   -1.0245;
     4;    1.0440;   -1.0372;
     5;    1.0243;   -1.0448;
     6;    1.0389;   -1.0251;
     7;    1.0197;   -1.0075;
     8;    1.0293;   -1.0153;
     9;    1.0390;   -1.0072;
    10;    1.0324;   -0.9884;
    11;    1.0161;   -0.9747;
    12;    1.0226;   -0.9917;
    13;    1.0391;   -0.9935;
    14;    1.0226;   -0.9895;
    15;    1.0176;   -0.9803;
    16;    1.0267;   -0.9919;
    17;    1.0136;   -0.9840;
    18;    1.0166;   -0.9714;
    19;    1.0001;   -0.9725;
    20;    1.0035;   -0.9831;
    21;    0.9987;   -0.9853;
    22;    1.0021;   -1.0033;
    23;    0.9835;   -1.0133;
    24;    0.9962;   -1.0083;
    25;    0.9841;   -1.0065;
    26;    0.9963;   -1.0080;
    27;    0.9974;   -1.0182;
    28;    0.9788;   -1.0022;
    29;    0.9617;   -0.9898;
    30;    0.9507;   -0.9874;
    31;    0.9318;   -0.9826;
    32;    0.9258;   -0.9690;
    33;    0.9128;   -0.9513;
    34;    0.8995;   -0.9558;
    35;    0.9037;   -0.9459;
    36;    0.9140;   -0.9561;
    37;    0.9312;   -0.9401;
    38;    0.9197;   -0.9574;
    39;    0.9352;   -0.9524;
    40;    0.9269;   -0.9489;
    41;    0.9251;   -0.9402;
    42;    0.9381;   -0.9336;
    43;    0.9409;   -0.9513;
    44;    0.9589;   -0.9509;
    45;    0.9767;   -0.9313;
    46;    0.9885;   -0.9204;
    47;    0.9880;   -0.9153;
    48;    0.9918;   -0.9150;
    49;    0.9805;   -0.9157;
    50;    0.9993;   -0.9084;
    51;    1.0115;   -0.9060;
    52;    0.9994;   -0.9010;
    53;    0.9820;   -0.9101;
    54;    0.9646;   -0.9147;
    55;    0.9808;   -0.9026;
    56;    0.9820;   -0.8994;
    57;    0.9844;   -0.9039;
    58;    0.9731;   -0.9044;
    59;    0.9826;   -0.9232;
    60;    1.0000;   -0.9373;
    61;    0.9886;   -0.9433;
    62;    0.9873;   -0.9520;
    63;    0.9827;   -0.9605;
    64;    0.9981;   -0.9504;
    65;    0.9806;   -0.9574;
    66;    0.9867;   -0.9766;
    67;    0.9718;   -0.9861;
    68;    0.9641;   -0.9826;
    69;    0.9682;   -0.9992;
    70;    0.9745;   -0.9797;
    71;    0.9551;   -0.9878;
    72;    0.9675;   -1.0028;
    73;    0.9707;   -1.0066;
    74;    0.9796;   -1.0213;
    75;    0.6009;    1.3093;
    76;    0.2916;    0.7762;
    77;    0.1897;    0.3180;
    78;    0.1362;   -0.0652;
    79;    0.1011;   -0.3728;
    80;    0.0751;   -0.6039;
    81;    0.0536;   -0.7576;
    82;    0.0343;   -0.8350;
    83;    0.0156;   -0.8353;
    84;   -0.0042;   -0.7586;
    85;   -0.0258;   -0.6046;
    86;   -0.0524;   -0.3735;
    87;   -0.0877;   -0.0664;
    88;   -0.1411;    0.3169;
    89;   -0.2431;    0.7750;
    90;   -0.5528;    1.3077;
    91;    0.9453;   -1.0734;
    92;    0.9306;   -1.0664;
    93;    0.9247;   -1.0649;
    94;    0.9053;   -1.0786;
    95;    0.9119;   -1.0848;
    96;    0.9033;   -1.0990;
    97;    0.9138;   -1.0945;
    98;    0.9138;   -1.0882;
    99;    0.9119;   -1.0688;
   100;    0.9264;   -1.0525;
   101;    0.9136;   -1.0538;
   102;    0.9093;   -1.0460;
   103;    0.8969;   -1.0425;
   104;    0.8862;   -1.0492;
   105;    0.8754;   -1.0666;
   106;    0.8886;   -1.0545;
   107;    0.8816;   -1.0617;
   108;    0.8924;   -1.0757;
   109;    0.8724;   -1.0812;
   110;    0.8660;   -1.0947;
   111;    0.8836;   -1.0990;
   112;    0.8944;   -1.0999;
   113;    0.8976;   -1.1093;
   114;    0.8836;   -1.0999;
   115;    0.8941;   -1.0972;
   116;    0.8926;   -1.0918;
   117;    0.8799;   -1.1111;
   118;    0.8908;   -1.0929;
   119;    0.8908;   -1.1127;
   120;    0.8887;   -1.1175;
   121;    0.8931;   -1.1092;
   122;    0.8884;   -1.1283;
   123;    0.8934;   -1.1149;
   124;    0.8915;   -1.1160;
   125;    0.8989;   -1.1257;
   126;    0.9180;   -1.1315;
   127;    0.9058;   -1.1296;
   128;    0.9213;   -1.1309;
   129;    0.9407;   -1.1384;
   130;    0.9525;   -1.1489;
   131;    0.9331;   -1.1418;
   132;    0.9230;   -1.1288;
   133;    0.9095;   -1.1136;
   134;    0.9149;   -1.1229;
   135;    0.9151;   -1.1197;
   136;    0.9248;   -1.1151;
   137;    0.9250;   -1.1300;
   138;    0.9136;   -1.1370;
   139;    0.9162;   -1.1401;
   140;    0.9194;   -1.1350;
   141;    0.9064;   -1.1275;
   142;    0.8917;   -1.1251;
   143;    0.8921;   -1.1293;
   144;    0.8806;   -1.1373;
   145;    0.8713;   -1.1367;
   146;    0.8646;   -1.1331;
   147;    0.8658;   -1.1161;
   148;    0.8637;   -1.1019;
   149;    0.8510;   -1.0945;
   150;    0.8517;   -1.0822;
