time;row_1;row_2;row_3;row_4;
     1;   -1.9912;   -0.9598;    1.7357;   -0.4463;
     2;   -1.9862;   -0.9539;    1.7539;   -0.4657;
     3;   -1.9881;   -0.9542;    1.7569;   -0.4784;
     4;   -1.9954;   -0.9389;    1.7531;   -0.4698;
     5;   -1.9941;   -0.9317;    1.7655;   -0.4592;
     6;   -1.9889;   -0.9298;    1.7697;   -0.4510;
     7;   -1.9949;   -0.9157;    1.7758;   -0.4645;
     8;   -1.9809;   -0.9086;    1.7762;   -0.4665;
     9;   -1.9755;   -0.9025;    1.7674;   -0.4586;
    10;   -1.9639;   -0.8994;    1.7833;   -0.4455;
    11;   -1.9543;   -0.9139;    1.7851;   -0.4511;
    12;   -1.9519;   -0.9260;    1.7894;   -0.4693;
    13;   -1.9437;   -0.9382;    1.7774;   -0.4718;
    14;   -1.9293;   -0.9483;    1.7764;   -0.4711;
    15;   -1.9421;   -0.9393;    1.7703;   -0.4573;
    16;   -1.9555;   -0.9212;    1.7790;   -0.4629;
    17;   -1.9563;   -0.9035;    1.7950;   -0.4518;
    18;   -1.9712;   -0.8903;    1.8048;   -0.4580;
    19;   -1.9785;   -0.8880;    1.8210;   -0.4698;
    20;   -1.9689;   -0.8831;    1.8379;   -0.4573;
    21;   -1.9857;   -0.8979;    1.8574;   -0.4425;
    22;   -1.9927;   -0.9001;    1.8694;   -0.4562;
    23;   -1.9825;   -0.9035;    1.8537;   -0.4622;
    24;   -1.9772;   -0.9040;    1.8356;   -0.4551;
    25;   -1.9865;   -0.9037;    1.8174;   -0.4538;
    26;   -1.9983;   -0.9070;    1.8194;   -0.4372;
    27;   -1.9913;   -0.9124;    1.8108;   -0.4414;
    28;   -1.9905;   -0.8995;    1.7929;   -0.4435;
    29;   -1.9708;   -0.9060;    1.7934;   -0.4594;
    30;   -1.9806;   -0.8901;    1.7981;   -0.4457;
    31;   -1.9725;   -0.8716;    1.7869;   -0.4280;
    32;   -1.9804;   -0.8818;    1.7975;   -0.4236;
    33;   -1.9621;   -0.8681;    1.7882;   -0.4190;
    34;   -1.9535;   -0.8794;    1.7891;   -0.4317;
    35;   -1.9437;   -0.8798;    1.8076;   -0.4415;
    36;   -1.9280;   -0.8776;    1.8141;   -0.4223;
    37;   -1.9104;   -0.8737;    1.8234;   -0.4353;
    38;   -1.8998;   -0.8539;    1.8174;   -0.4176;
    39;   -1.8987;   -0.8387;    1.8320;   -0.4277;
    40;   -2.5803;   -1.0159;   -1.2887;   -0.5872;
    41;   -1.4162;   -0.9781;   -0.7561;   -0.2779;
    42;   -0.7256;   -0.9027;   -0.2978;   -0.1761;
    43;   -0.2239;   -0.7934;    0.0852;   -0.1229;
    44;    0.1529;   -0.6546;    0.3923;   -0.0882;
    45;    0.4255;   -0.4919;    0.6226;   -0.0621;
    46;    0.6061;   -0.3107;    0.7764;   -0.0407;
    47;    0.7019;   -0.1184;    0.8537;   -0.0216;
    48;    0.7203;    0.0781;    0.8532;   -0.0028;
    49;    0.6729;    0.2705;    0.7761;    0.0164;
    50;    0.5720;    0.4512;    0.6221;    0.0375;
    51;    0.4309;    0.6142;    0.3909;    0.0640;
    52;    0.2666;    0.7530;    0.0839;    0.0989;
    53;    0.0945;    0.8622;   -0.2992;    0.1521;
    54;   -0.0679;    0.9370;   -0.7574;    0.2540;
    55;   -0.2066;    0.9753;   -1.2901;    0.5632;
    56;   -1.8438;   -0.7777;    1.7968;   -0.5394;
    57;   -1.8622;   -0.7902;    1.7821;   -0.5399;
    58;   -1.8803;   -0.7972;    1.7778;   -0.5597;
    59;   -1.8917;   -0.8121;    1.7804;   -0.5647;
    60;   -1.8808;   -0.8310;    1.7696;   -0.5512;
    61;   -1.8971;   -0.8403;    1.7549;   -0.5319;
    62;   -1.8828;   -0.8602;    1.7464;   -0.5392;
    63;   -1.8646;   -0.8566;    1.7506;   -0.5395;
    64;   -1.8607;   -0.8575;    1.7370;   -0.5487;
    65;   -1.8442;   -0.8723;    1.7323;   -0.5532;
    66;   -1.8543;   -0.8680;    1.7413;   -0.5731;
    67;   -1.8716;   -0.8529;    1.7436;   -0.5647;
    68;   -1.8615;   -0.8657;    1.7576;   -0.5763;
    69;   -1.8518;   -0.8789;    1.7624;   -0.5798;
    70;   -1.8339;   -0.8789;    1.7754;   -0.5807;
    71;   -1.8164;   -0.8903;    1.7880;   -0.5623;
    72;   -1.8228;   -0.9023;    1.8072;   -0.5545;
    73;   -1.8235;   -0.8964;    1.7895;   -0.5730;
    74;   -1.8234;   -0.9070;    1.7884;   -0.5824;
    75;   -1.8179;   -0.8922;    1.7709;   -0.5674;
    76;   -1.8242;   -0.8855;    1.7628;   -0.5584;
    77;   -1.8170;   -0.9016;    1.7557;   -0.5501;
    78;   -1.8359;   -0.9028;    1.7709;   -0.5668;
    79;   -1.8364;   -0.8846;    1.7824;   -0.5701;
    80;   -1.8346;   -0.8877;    1.7860;   -0.5727;
    81;   -1.8172;   -0.9060;    1.7694;   -0.5622;
    82;   -1.8330;   -0.9001;    1.7727;   -0.5508;
    83;   -1.8346;   -0.9174;    1.7870;   -0.5444;
    84;   -1.8277;   -0.9313;    1.8064;   -0.5564;
    85;   -1.8303;   -0.9236;    1.8126;   -0.5750;
    86;   -1.8215;   -0.9100;    1.8221;   -0.5938;
    87;   -1.8160;   -0.9122;    1.8302;   -0.5873;
    88;   -1.8120;   -0.9179;    1.8351;   -0.5884;
    89;   -1.8066;   -0.9209;    1.8409;   -0.5813;
    90;   -1.8214;   -0.9038;    1.8354;   -0.5985;
    91;   -1.8103;   -0.9017;    1.8531;   -0.6043;
    92;   -1.7920;   -0.8874;    1.8418;   -0.6232;
    93;   -1.7986;   -0.8961;    1.8346;   -0.6116;
    94;   -1.7989;   -0.8854;    1.8402;   -0.5955;
    95;   -1.7859;   -0.8662;    1.8276;   -0.5769;
    96;   -1.7730;   -0.8761;    1.8403;   -0.5660;
    97;   -1.7672;   -0.8812;    1.8521;   -0.5627;
    98;   -1.7661;   -0.8796;    1.8665;   -0.5500;
    99;   -1.7689;   -0.8918;    1.8846;   -0.5429;
   100;   -1.7699;   -0.8845;    1.8903;   -0.5613;
