time;row;
     1;   6.69504;
     2;   8.36878;
     3;   7.60400;
     4;  16.08611;
     5;  17.61392;
     6;  15.75619;
     7;   9.94831;
     8;   8.96995;
     9;  15.47658;
    10;  16.97528;
    11;  14.99442;
    12;   5.55487;
    13;   8.60272;
    14;  13.10308;
    15;  14.18602;
    16;  12.02108;
    17;   6.32344;
    18;   7.22809;
    19;  12.46120;
    20;  13.55771;
    21;  11.12285;
    22;   5.07395;
    23;   6.62216;
    24;   7.87992;
    25;   8.99618;
    26;   6.87750;
    27;   6.90412;
    28;   6.05775;
    29;   6.21669;
    30;   8.11517;
    31;   6.22975;
    32;   6.11088;
    33;   7.32033;
    34;   7.54065;
    35;   8.83874;
    36;   8.02825;
    37;   6.77283;
    38;   7.47446;
    39;   7.76667;
    40;   8.17716;
    41;   6.67350;
    42;   6.21052;
    43;   5.89884;
    44;   8.50313;
    45;   9.19805;
    46;   6.63310;
    47;   6.48868;
    48;   7.33693;
    49;   9.85209;
    50;   9.94374;
    51;   6.90679;
    52;   5.01198;
    53;   5.25769;
    54;   9.50298;
    55;   9.71502;
    56;   6.23051;
    57;   5.92298;
    58;   5.24184;
    59;  10.22974;
    60;  11.49739;
    61;   9.37946;
    62;   7.99601;
    63;   6.32357;
    64;   9.75634;
    65;   9.19526;
    66;   8.10326;
    67;   5.87033;
    68;   7.04390;
    69;   7.71585;
    70;   8.80086;
    71;   7.67122;
    72;   3.97849;
    73;   8.26825;
    74;  10.81665;
    75;  10.84395;
    76;   7.71717;
    77;   6.29141;
    78;   6.66634;
    79;   9.80756;
    80;  10.01488;
    81;   5.80331;
    82;   7.82062;
    83;   9.66771;
    84;  11.81495;
    85;  11.64578;
    86;   7.02325;
    87;   8.90186;
    88;   7.07260;
    89;   6.69259;
    90;   5.19553;
    91;   6.48670;
    92;   6.54148;
    93;   5.46548;
    94;   8.49928;
    95;   7.83405;
    96;   5.25992;
    97;   6.46063;
    98;   3.66832;
    99;   7.93717;
   100;   8.54285;
   101;   7.33689;
   102;   7.54644;
   103;   7.05239;
   104;   8.00751;
   105;   7.24437;
   106;   6.66981;
   107;   7.86215;
   108;   5.35078;
   109;   8.29836;
   110;   7.85482;
   111;   4.88881;
   112;   5.45954;
   113;   8.12513;
   114;  10.05284;
   115;   8.85224;
   116;   4.46967;
   117;   6.23532;
   118;   4.02858;
   119;   8.73561;
   120;   6.13949;
   121;   6.98224;
   122;   7.23212;
   123;   5.23645;
   124;   6.11540;
   125;   8.30806;
   126;   6.89854;
   127;   5.30600;
   128;   7.40611;
   129;   8.92359;
   130;   8.33748;
   131;   6.18704;
   132;   6.80716;
   133;   7.80890;
   134;   7.14220;
   135;   6.42033;
   136;   6.36542;
   137;   5.52284;
   138;   6.18671;
   139;   6.26251;
   140;   6.82154;
   141;   6.05965;
   142;   7.55139;
   143;   8.19501;
   144;   7.35719;
   145;   6.06487;
   146;   4.65369;
   147;   6.20050;
   148;   5.77021;
   149;   5.37145;
   150;   6.27358;
   151;   4.42945;
   152;   4.25462;
   153;   6.24595;
   154;   5.76641;
   155;   3.93240;
   156;   4.59756;
   157;   5.10411;
   158;   6.35332;
   159;   2.44427;
   160;   4.72963;
   161;   5.53771;
   162;   4.95686;
   163;   6.09555;
   164;   7.11565;
   165;   6.77585;
   166;   6.43349;
   167;   6.53663;
   168;   3.57808;
   169;   6.01800;
   170;   2.72980;
   171;   1.81061;
   172;   3.79365;
   173;   5.48701;
   174;   3.93802;
   175;   5.38979;
   176;   6.04191;
   177;   5.15054;
   178;   1.93297;
   179;   5.75195;
   180;   5.12788;
   181;   3.79052;
   182;   4.86649;
   183;   4.57643;
   184;   5.16308;
   185;   4.57323;
   186;   4.71494;
   187;   5.81703;
   188;   6.28945;
   189;   3.87870;
   190;   2.46285;
   191;   4.58751;
   192;   1.65322;
   193;   4.78351;
   194;   5.29483;
   195;  -4.48071;
   196;   6.20079;
   197;   6.87793;
   198;   7.19993;
   199;   6.03563;
   200;   5.37181;
   201;   4.97670;
   202;   4.20329;
   203;   4.90641;
   204;   1.97005;
   205;   4.86873;
   206;   5.51669;
   207;   6.06831;
   208;   3.63558;
   209;   5.06620;
   210;   5.20514;
   211;   4.47187;
   212;   3.98022;
   213;   6.28477;
   214;   4.72838;
   215;   5.73233;
   216;   6.14175;
   217;   4.83282;
   218;   6.54229;
   219;   4.65201;
   220;   4.87286;
   221;   5.73337;
   222;   5.99686;
   223;   5.75523;
   224;   5.32850;
   225;   5.51164;
   226;   5.76977;
   227;   4.59298;
   228;   4.57389;
   229;   1.71921;
   230;   4.17057;
   231;   4.73300;
   232;   5.44639;
   233;   6.25929;
   234;   6.91883;
   235;   5.92612;
   236;   4.15540;
   237;   3.73883;
   238;   4.83016;
   239;   3.37788;
   240;   5.29447;
   241;   5.81369;
   242;   3.59362;
   243;   5.33968;
   244;   4.46747;
   245;   2.89063;
   246;   4.94219;
   247;   3.77274;
   248;   5.08782;
   249;   5.65872;
   250;   6.06019;
   251;   6.30873;
   252;   6.08300;
   253;   5.74548;
   254;   5.44505;
   255;   5.18271;
   256;   5.62424;
