time;row_1;row_2;
     1;    0.3875;    0.3249;
     2;    0.5493;    1.3154;
     3;    1.5247;    0.4665;
     4;    1.5110;    0.6948;
     5;    1.0638;    0.7089;
     6;    1.0603;    0.6207;
     7;    1.3708;    0.6844;
     8;    0.4106;    0.0926;
     9;    0.7710;    0.6752;
    10;    0.4437;    0.3367;
    11;    0.2792;    1.2808;
    12;   -0.6407;    0.9153;
    13;   -0.7354;    1.0766;
    14;   -0.0504;    1.4559;
    15;    0.3687;    1.0218;
    16;   -0.2786;    1.8380;
    17;   -0.6871;    2.0742;
    18;   -1.1752;    1.6448;
    19;   -1.3877;    1.6574;
    20;   -0.6188;    1.8785;
    21;   -0.2528;    1.1135;
    22;    0.5265;    1.4217;
    23;    0.8138;    0.8833;
    24;    1.6353;    1.2354;
    25;    1.6069;    1.0332;
    26;    1.5491;    0.2351;
    27;    1.5243;    0.4506;
    28;    0.6517;    0.5653;
    29;    0.3241;   -0.2042;
    30;    1.3212;   -0.5763;
    31;    1.1009;   -1.1670;
    32;    1.3043;   -0.5338;
    33;    0.9933;   -0.3864;
    34;    0.2934;   -0.8945;
    35;    1.0330;   -0.2141;
    36;    1.6856;   -0.1702;
    37;    1.4614;    0.0209;
    38;    0.5117;   -0.2464;
    39;    1.3212;   -0.2842;
    40;    0.9806;    0.7151;
    41;    1.0978;    0.4542;
    42;    1.9076;   -0.2799;
    43;    0.9804;   -1.1353;
    44;    0.7328;   -1.7370;
    45;    0.8584;   -1.3406;
    46;    1.3587;   -0.5314;
    47;    0.4316;   -0.1883;
    48;    0.1661;   -0.5209;
    49;   -0.2170;    0.3292;
    50;   -0.3398;    0.0078;
    51;    0.0328;    0.8105;
    52;    0.6232;    0.0298;
    53;    0.4825;    0.9198;
    54;    0.9691;    0.3294;
    55;    1.8742;    0.9230;
    56;    1.1568;    0.5400;
    57;    1.0861;   -2.2119;
    58;    1.0864;   -1.5598;
    59;    1.0514;   -1.2061;
    60;    1.0132;   -1.0968;
    61;    0.9990;   -0.9677;
    62;    0.9521;   -0.8511;
    63;    0.8704;   -0.7772;
    64;    0.7928;   -0.6956;
    65;    0.6995;   -0.5926;
    66;    0.5988;   -0.4959;
    67;    0.4655;   -0.4185;
    68;    0.3806;   -0.3244;
    69;    0.2661;   -0.2090;
    70;    0.0761;   -0.0753;
    71;   -0.0482;    0.0662;
    72;   -0.2246;    0.1763;
    73;   -0.3080;    0.3783;
    74;   -0.3898;    0.5424;
    75;   -0.5442;    0.7535;
    76;   -0.7027;    0.9456;
    77;   -0.8089;    1.1094;
    78;   -0.9240;    1.2422;
    79;   -1.0160;    1.4193;
    80;   -0.9976;    1.5460;
    81;   -0.9974;    1.7781;
    82;   -1.0902;    1.9641;
    83;   -1.1279;    2.0589;
    84;   -0.7515;    0.7950;
    85;   -1.5730;    1.5409;
    86;   -1.1674;    1.0391;
    87;   -1.9842;    0.1393;
    88;   -1.6567;    0.0777;
    89;   -1.5038;    0.5208;
    90;   -1.3528;    0.7661;
    91;   -1.3053;    0.9503;
    92;   -1.3367;    0.8673;
    93;   -1.2970;    1.2498;
    94;   -0.5547;    0.9733;
    95;   -0.1342;    0.0431;
    96;   -0.1714;   -0.0755;
    97;    0.4007;   -0.7537;
    98;    0.1152;   -0.1041;
    99;    0.8370;   -1.0497;
   100;    1.3951;   -0.7175;
   101;    0.6865;   -0.1198;
   102;    1.1725;    0.6334;
   103;    1.0465;    1.1897;
   104;    1.6848;    1.7162;
   105;    2.0412;    1.9136;
   106;    2.0219;    1.8880;
   107;    1.3351;    1.7892;
   108;    1.8089;    0.8858;
   109;    1.5892;    0.6140;
   110;    0.6325;    0.7989;
   111;    1.6104;    1.3620;
   112;    1.2705;    0.8394;
   113;    1.8980;    1.1329;
   114;    1.5495;    0.8912;
   115;    1.3796;    1.8235;
   116;    1.7797;    1.7879;
   117;    0.8155;    1.2151;
   118;    0.5852;    0.6045;
   119;    1.4529;   -0.1045;
   120;    0.7451;   -0.0512;
