time;row_1;row_2;
     1;    0.5123;    1.2089;
     2;   -0.1581;    1.7014;
     3;   -0.9137;    1.2051;
     4;   -1.5995;    0.9210;
     5;   -1.3043;    1.2378;
     6;   -1.3023;    1.0247;
     7;   -1.3268;    1.0484;
     8;   -0.7736;    0.2054;
     9;   -0.9087;    1.1675;
    10;   -1.5414;    0.2975;
    11;   -1.0080;    0.1400;
    12;    0.8483;   -2.2537;
    13;    0.8348;   -1.5050;
    14;    0.8539;   -1.2693;
    15;    0.8264;   -1.0360;
    16;    0.7187;   -0.9021;
    17;    0.7164;   -0.8617;
    18;    0.6871;   -0.7822;
    19;    0.6608;   -0.6777;
    20;    0.5629;   -0.5793;
    21;    0.4473;   -0.5500;
    22;    0.4024;   -0.4571;
    23;    0.2478;   -0.4079;
    24;    0.1005;   -0.3475;
    25;   -0.0257;   -0.2228;
    26;   -0.0780;   -0.0999;
    27;   -0.1518;    0.0759;
    28;   -0.2748;    0.2768;
    29;   -0.3741;    0.5055;
    30;   -0.4355;    0.6609;
    31;   -0.4928;    0.8793;
    32;   -0.6257;    1.0355;
    33;   -0.7520;    1.3019;
    34;   -0.8755;    1.4960;
    35;   -0.9167;    1.7133;
    36;   -0.9620;    1.8900;
    37;   -0.9723;    2.0548;
    38;   -1.0196;    2.1499;
    39;   -0.9569;    1.4923;
    40;   -1.1315;    1.9252;
    41;   -0.7991;    1.1526;
    42;   -1.4197;    1.1410;
    43;   -1.8698;    0.9187;
    44;   -0.9980;    0.6626;
    45;   -0.1698;    0.6058;
    46;   -0.3116;    0.3414;
    47;   -0.8306;    0.1044;
    48;   -0.2555;    0.5006;
    49;   -1.1688;    1.1353;
    50;   -1.7927;    1.1197;
    51;   -1.6345;    0.8667;
    52;   -1.7809;    0.5764;
    53;   -1.1820;   -0.1760;
    54;   -1.1889;   -0.2173;
    55;   -0.9269;   -0.8264;
    56;   -1.5463;   -1.4748;
    57;   -1.0618;   -1.8466;
    58;   -1.3462;   -1.3263;
    59;   -1.5540;   -0.8084;
    60;   -1.1309;   -0.5069;
    61;   -0.8346;   -0.3252;
    62;   -0.4618;   -0.2156;
    63;   -0.1300;   -0.1068;
    64;    0.1688;   -0.0302;
    65;    0.4326;    0.0011;
    66;    0.5892;   -0.0136;
    67;    0.7660;    0.0480;
    68;    0.8938;    0.0405;
    69;    0.9044;   -0.0125;
    70;    0.9149;   -0.0294;
    71;    0.9035;    0.0337;
    72;    0.8270;    0.0985;
    73;    0.7491;    0.1255;
    74;    0.5943;    0.1178;
    75;    0.4817;    0.1484;
    76;    0.2806;    0.1509;
    77;   -0.0047;    0.1972;
    78;   -0.3415;    0.1891;
    79;   -0.6295;    0.1987;
    80;   -0.9718;    0.3152;
    81;   -1.3004;    0.5988;
    82;    1.1716;   -0.5377;
    83;    1.5430;   -0.2831;
    84;    1.9235;    0.3685;
    85;    1.3214;    0.0929;
    86;    0.5145;    0.5519;
    87;   -0.0742;    1.3677;
    88;    0.9158;    1.8629;
    89;    0.5517;    1.3001;
    90;    0.0862;    0.3571;
    91;    1.0741;   -0.3788;
    92;    0.7866;    0.1245;
    93;    1.2520;    0.9502;
    94;    1.3395;    1.0431;
    95;    0.9775;    1.1448;
    96;    0.6322;    0.2654;
    97;   -0.2419;   -0.0075;
    98;   -0.6730;    0.3339;
    99;   -0.0796;    0.5567;
   100;    0.5301;    1.2924;
   101;    1.3742;    1.6805;
   102;    1.0057;    1.1414;
   103;    0.5013;    1.2607;
   104;    1.3287;    0.6685;
   105;    0.4188;    1.0311;
   106;   -0.5533;    0.9005;
   107;   -0.2599;    1.0035;
   108;    0.1624;    1.3018;
   109;    0.5285;    1.1033;
   110;    0.9496;    1.7741;
   111;    1.2378;    0.9848;
   112;    1.1503;    0.5283;
   113;    0.4773;   -0.2637;
   114;    1.0726;   -0.9188;
   115;    0.6810;   -0.8322;
   116;    0.5504;   -0.6386;
   117;    0.0334;   -1.4394;
   118;   -0.3330;   -1.6493;
   119;   -1.0831;   -1.7833;
   120;   -0.1923;   -1.2415;
