time;row_1;row_2;
     1;    1.2032;    1.0403;
     2;    0.9042;    0.6962;
     3;    1.1426;    0.6373;
     4;    0.7464;    0.7031;
     5;    0.8277;    0.9271;
     6;    0.7293;    0.9152;
     7;    1.0379;    1.1902;
     8;    0.7487;    1.4574;
     9;    0.9350;    1.0791;
    10;    0.5916;    1.4631;
    11;    0.6816;    1.3820;
    12;    0.9386;    1.0082;
    13;    0.5485;    0.7629;
    14;    0.5668;    0.8712;
    15;    0.8911;    0.8918;
    16;    0.9241;    0.8849;
    17;    1.2557;    1.1618;
    18;    1.1049;    0.8924;
    19;    1.2887;    1.0819;
    20;    1.6514;    1.0054;
    21;    1.4809;    0.9314;
    22;    1.8344;    0.7976;
    23;    1.8236;    0.7323;
    24;    1.6564;    0.7801;
    25;    1.8017;    0.8942;
    26;    1.8463;    1.1266;
    27;    1.7013;    0.9297;
    28;    1.9398;    0.6952;
    29;    1.9627;    0.7497;
    30;    1.5772;    0.5029;
    31;    1.4056;    0.8652;
    32;    1.7089;    0.9583;
    33;    1.9702;    1.0799;
    34;    1.7129;    0.7458;
    35;    1.5665;    0.3974;
    36;    1.8305;    0.6808;
    37;    1.8700;    0.5848;
    38;    1.4837;    0.9666;
    39;    1.0967;    0.7236;
    40;    1.2321;    0.5020;
    41;    1.0859;    0.5739;
    42;    0.9641;    0.2876;
    43;    0.9540;    0.0596;
    44;    0.9811;    0.1217;
    45;    0.7697;   -0.2060;
    46;    0.5755;   -0.0331;
    47;    0.8663;   -0.4218;
    48;    0.9881;   -0.6681;
    49;    1.1085;   -0.6606;
    50;    1.1856;   -0.7763;
    51;    1.2752;   -0.7334;
    52;    0.9468;   -0.3542;
    53;    0.7750;   -0.3016;
    54;    0.7997;    0.0286;
    55;    0.5839;    0.3723;
    56;    0.3981;    0.3954;
    57;    0.6894;    0.6912;
    58;    0.3223;    0.3075;
    59;    0.1411;    0.5496;
    60;    0.1297;    0.6146;
    61;    0.3230;    0.9814;
    62;    0.0760;    0.9470;
    63;   -0.2921;    0.7568;
    64;   -0.4601;    0.5010;
    65;   -0.1808;    0.5165;
    66;   -0.4399;    0.3037;
    67;   -0.0471;    0.3780;
    68;    0.1972;    0.6349;
    69;    0.5243;    0.6177;
    70;    0.6156;    0.9970;
    71;    0.4768;    0.8221;
    72;    0.4449;    0.7227;
    73;    0.3035;    0.9207;
    74;    0.1082;    1.1599;
    75;    0.0282;    0.9613;
    76;    0.0860;    1.1844;
    77;   -0.3123;    1.0389;
    78;   -0.6617;    0.8194;
    79;   -0.6655;    0.5270;
    80;   -0.5912;    0.7690;
    81;   -0.5589;    1.1251;
    82;   -0.2383;    0.8957;
    83;    0.0007;    1.2244;
    84;    0.1170;    0.9312;
    85;   -0.2114;    1.3299;
    86;   -0.2511;    0.9879;
    87;   -0.3506;    0.6466;
    88;   -0.6056;    1.0066;
    89;   -0.6072;    0.9442;
    90;   -0.9298;    0.7108;
    91;   -0.6028;    0.9219;
    92;   -0.9397;    1.0449;
    93;   -0.5711;    0.7427;
    94;   -0.5735;    1.1095;
    95;   -0.7821;    1.2384;
    96;   -0.7895;    0.9905;
    97;   -0.9061;    1.0272;
    98;   -0.5505;    1.4146;
    99;   -0.2534;    1.3803;
   100;   -0.4492;    1.5505;
   101;   -0.0704;    1.4515;
   102;   -0.3002;    1.7097;
   103;   -0.4333;    1.9339;
   104;   -0.7148;    1.8022;
   105;   -0.7626;    1.5115;
   106;   -0.5159;    1.8415;
   107;   -0.6034;    1.7035;
