time;row_1;row_2;row_3;row_4;
1;5.49613;123.298;92.3446;1.45135;
2;-0.570441;124.913;93.4328;1.51793;
3;-6.77005;126.022;94.4199;1.58417;
4;-13.2829;126.564;95.2706;1.6525;
5;-28.1282;124.581;95.682;1.80947;
6;-41.7321;114.208;90.1913;1.98411;
7;-52.9608;97.1694;80.9303;2.19734;
8;-60.7243;76.3045;71.0381;2.46114;
9;-63.8778;54.0743;62.5435;2.77422;
10;-61.5387;34.0746;56.0854;3.09765;
11;-51.8359;20.4197;47.661;-2.90457;
12;-37.6767;15.0537;36.1802;-2.66626;
13;-19.3843;17.0221;20.1346;-2.33118;
14;-0.984327;24.5445;8.3901;-1.00142;
15;14.6435;36.2155;20.6703;0.224643;
16;25.628;49.5985;35.9578;0.523874;
17;31.3041;62.6965;48.1809;0.701263;
18;33.4547;69.4753;54.33;0.771109;
19;31.6045;68.4182;52.2691;0.781276;
20;28.9391;57.2111;42.9178;0.639124;
21;24.4235;31.6966;29.9311;0.00285868;
22;19.8164;-4.36965;43.9989;-0.957512;
23;16.4544;-47.6026;82.2017;-1.30034;
24;14.6737;-91.408;124.663;-1.4082;
25;14.9815;-131.687;164.578;-1.44598;
26;13.4713;-150.244;182.843;-1.46681;
27;15.8742;-174.752;207.468;-1.46755;
