time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;row_13;row_14;row_15;row_16;row_17;row_18;
1;-52;127;-52;127;-36.5694;87.5951;-108;258.667;136.989;1.96079;-36.5694;87.5951;95.3942;1.9612;-108;258.667;281.205;1.96893;
2;-54;129;-27;108;-36.603;87.8417;-108;259.333;139.604;1.9686;-26.279;79.2141;83.9664;1.88579;-95.6667;249.667;268.243;1.93955;
3;-55;130;1;79;-35.584;87.2872;-104.667;257.333;140.914;1.97239;-18.1403;71.1477;73.9613;1.81489;-78;233.667;247.183;1.8962;
4;-54;131;11;64;-32.5797;84.8521;-95.6667;249.667;141.449;1.96312;-8.6843;60.9167;62.111;1.70676;-56.3333;212;220.147;1.83437;
5;-45;124;22;47;-26.279;79.2141;-78;233.667;131.661;1.92027;1.36539;47.4597;48.1085;1.53689;-30.6667;184.333;187.574;1.74055;
6;-27;108;33;15;-18.1403;71.1477;-56.3333;212;111.055;1.81713;9.15783;32.9915;34.9086;1.29746;-1.66667;145.667;146.236;1.58918;
7;1;79;26;-3;-8.6843;60.9167;-30.6667;184.333;78.7081;1.55912;13.2757;19.4387;24.2025;0.977016;22;103.333;105.975;1.37153;
8;11;64;15;-12;1.36539;47.4597;-1.66667;145.667;64.6317;1.40104;8.8921;7.37662;12.1584;0.717889;36;63.3333;72.8273;1.06982;
9;22;47;-36;-26;9.15783;32.9915;22;103.333;51.5905;1.13199;-1.32216;-2.83721;2.45509;-2.01571;23.6667;28.3333;36.6974;0.905796;
10;33;15;-69;-28;13.2757;19.4387;36;63.3333;36.0531;0.420051;-15.5205;-10.5804;18.2181;-2.56321;-3;-2.33333;4.40209;-2.72311;
11;26;-3;-88;-28;8.8921;7.37662;23.6667;28.3333;26.1278;-0.126536;-32.0476;-14.9112;34.8468;-2.71905;-39.6667;-27.3333;48.7158;-2.55935;
12;15;-12;-103;-27;-1.32216;-2.83721;-3;-2.33333;19.3338;-0.689369;-48.1015;-17.0407;50.5755;-2.81095;-85;-41.3333;95.2027;-2.69882;
13;-36;-26;-114;-25;-15.5205;-10.5804;-39.6667;-27.3333;44.6474;-2.51177;-61.6039;-17.9982;63.7524;-2.86553;-131.667;-48.6667;141.146;-2.79368;
14;-69;-28;-103;-22;-32.0476;-14.9112;-85;-41.3333;74.6521;-2.75282;-74.6623;-16.8387;76.1439;-2.92696;-175;-53;183.672;-2.85197;
15;-88;-28;-72;-32;-48.1015;-17.0407;-131.667;-48.6667;92.5149;-2.83074;-61.2794;-18.8397;63.6758;-2.85142;-202;-52;209.441;-2.89337;
16;-103;-27;-53;-43;-61.6039;-17.9982;-175;-53;106.634;-2.88272;-50.8007;-22.6152;55.1139;-2.73109;-217.333;-50;223.886;-2.91886;
17;-114;-25;-26;-53;-69.9773;-17.5548;-202;-52;116.852;-2.92338;-36.5216;-27.4491;45.1026;-2.50455;-204;-48.6667;210.594;-2.91105;
18;-115;-25;12;-61;-74.6623;-16.8387;-217.333;-50;117.829;-2.92521;-17.4488;-32.45;36.171;-2.06582;-182.667;-55.3333;191.686;-2.85172;
19;-117;-23;61;-64;-76.6512;-16.0468;-224.667;-47.6667;119.376;-2.94517;5.62189;-36.272;36.1338;-1.40713;-153;-65.6667;167.224;-2.74158;
20;-115;-22;104;-59;-76.2562;-15.4816;-224.667;-46;117.221;-2.95021;29.3969;-37.9356;47.6679;-0.899154;-112.333;-79;137.858;-2.53618;
