time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;row_13;row_14;row_15;row_16;row_17;row_18;
1;-158;193;-158;193;-69.4551;131.981;-191.667;389.333;249.655;2.25988;-69.4551;131.981;145.251;2.13726;-191.667;389.333;420.734;2.07169;
2;-120;195;-120;195;-58.0228;131.996;-159.333;389.333;229.09;2.1259;-58.0228;131.996;139.462;2.06798;-159.333;389.333;406.199;2.00181;
3;-77;195;-77;195;-44.2454;132.034;-125.333;389.333;209.637;1.95069;-44.2454;132.034;133.477;1.977;-125.333;389.333;393.209;1.92317;
4;-23;195;-23;195;-27.3483;132.193;-93.3333;389.667;196.132;1.69212;-27.3483;132.193;127.899;1.85484;-93.3333;389.667;383.664;1.84451;
5;25;195;25;195;3.34286;132.693;-4.33333;391.333;196.196;1.44682;3.34286;132.693;123.382;1.61256;-4.33333;391.333;371.34;1.61041;
6;73;196;73;196;31.1082;133.184;77;392.667;208.606;1.21706;31.1082;133.184;125.814;1.39007;77;392.667;378.295;1.39375;
7;109;198;109;198;53.7131;133.701;145.333;394;225.393;1.06977;53.7131;133.701;132.253;1.22185;145.333;394;397.338;1.22424;
8;124;199;124;199;69.6158;134.299;195.333;395.667;233.819;1.01553;69.6158;134.299;139.036;1.11563;195.333;395.667;418.475;1.11299;
9;128;199;-95;176;55.9746;132.288;155.333;389.333;235.952;1.00113;55.9746;132.288;131.725;1.20204;155.333;389.333;396.497;1.19652;
10;127;200;-94;152;33.0259;127.115;99.6667;374.667;236.259;1.00697;33.0259;127.115;120.225;1.36531;99.6667;374.667;365.458;1.32397;
11;-95;176;-97;125;4.82046;118.235;31;350.333;200.082;2.06973;4.82046;118.235;108.879;1.60454;31;350.333;330.693;1.50838;
12;-94;152;-104;84;-23.8795;104.369;-45;312;178.844;2.12907;-23.8795;104.369;100.318;1.89939;-45;312;296.925;1.75839;
13;-97;125;-112;47;-49.6049;86.1871;-125;261.333;158.431;2.23561;-49.6049;86.1871;96.2752;2.21864;-125;261.333;276.461;2.0825;
14;-104;84;-105;20;-68.9735;65.3177;-202.333;201.333;134.068;2.46743;-68.9735;65.3177;95.5298;2.51653;-202.333;201.333;279.326;2.43642;
15;-112;47;-92;8;-69.7437;46.2872;-204;147;122.024;2.74895;-69.7437;46.2872;86.4897;2.70122;-204;147;249.024;2.60775;
16;-105;20;-76;17;-69.3257;30.0858;-203.333;99;107.556;2.95748;-69.3257;30.0858;80.5175;2.88201;-203.333;99;227.743;2.78868;
17;-100;13;-65;27;-67.8709;18.0957;-200.667;60.6667;101.534;3.01628;-67.8709;18.0957;76.8565;3.02845;-200.667;60.6667;214.869;2.95253;
18;-92;8;-50;35;-64.3163;11.6879;-191.333;38.3333;93.0564;3.05886;-59.0074;10.3471;67.508;3.12784;-191.333;38.3333;202.513;3.05235;
19;-89;10;-17;42;-59.0074;10.3471;-175.667;31.6667;90.2598;3.03402;-43.2014;16.3141;52.1535;3.00899;-175.667;31.6667;186.389;3.08049;
20;-76;17;13;39;-52.6651;12.5424;-157.333;36.6667;78.5322;2.92743;-30.8511;20.1037;40.7704;2.87641;-157.333;36.6667;168.506;3.04422;
21;-65;27;56;25;-43.2014;16.3141;-129.667;46.3333;70.9498;2.75591;-14.0033;21.8022;25.6806;2.63841;-129.667;46.3333;142.443;2.95769;
22;-50;35;90;12;-30.8511;20.1037;-94.6667;56.6667;61.4637;2.54188;5.65134;20.7969;11.7281;1.81563;-94.6667;56.6667;111.163;2.80816;
23;-17;42;113;-8;-14.0033;21.8022;-46.3333;61.6667;45.3071;1.97307;26.5932;16.1834;19.3219;0.35769;-46.3333;61.6667;70.2011;2.51118;
24;13;39;132;-44;5.65134;20.7969;9;60;40.587;1.26389;47.2963;6.58945;38.9051;-0.0727836;9;60;39.7392;1.60538;
25;56;25;153;-85;26.5932;16.1834;68.3333;48.3333;60.5268;0.420181;66.2566;-8.33261;60.4285;-0.298154;68.3333;48.3333;64.3896;0.450716;
26;90;12;167;-150;47.2963;6.58945;129;22;90.0242;0.130227;82.8976;-30.2282;84.3074;-0.489591;129;22;118.638;0.01446;
27;113;-8;171;-175;66.2566;-8.33261;185.667;-20.3333;112.569;-0.0738844;95.4588;-54.2259;107.766;-0.63178;185.667;-20.3333;179.937;-0.227696;
28;132;-44;166;-194;82.8976;-30.2282;237;-83.3333;138.539;-0.325555;103.811;-78.6418;129.769;-0.745847;237;-83.3333;249.191;-0.428842;
29;153;-85;148;-216;95.4588;-54.2259;275.333;-150;174.532;-0.510703;107.327;-102.145;149.045;-0.845832;275.333;-150;314.961;-0.571213;
30;167;-150;124;-224;103.811;-78.6418;300.667;-218.667;224.134;-0.73505;105.53;-121.664;163.091;-0.933555;300.667;-218.667;375.989;-0.688692;
31;171;-175;96;-226;107.327;-102.145;312.333;-288;244.382;-0.800004;98.0621;-136.104;170.878;-1.01906;312.333;-288;431.531;-0.795763;
32;166;-194;28;-222;105.53;-121.664;309.667;-348;255.084;-0.866007;81.6334;-143.801;169.781;-1.12543;309.667;-348;474.563;-0.888379;
33;148;-216;-30;-215;98.0621;-136.104;290.667;-395;261.679;-0.973078;57.8409;-147.699;164.685;-1.26648;290.667;-395;501.024;-0.977087;
34;124;-224;-76;-208;81.6334;-143.801;244.333;-419;255.946;-1.06832;29.0743;-148.419;159.174;-1.44114;244.333;-419;497.703;-1.08142;
35;96;-226;-101;-206;57.8409;-147.699;177.333;-432.333;245.542;-1.17237;-0.558511;-146.75;156.431;-1.6287;177.333;-432.333;482.43;-1.21741;
36;28;-222;-111;-204;29.0743;-148.419;96.6667;-437;223.975;-1.44878;-27.3612;-144.422;157.964;-1.79978;96.6667;-437;465.355;-1.38428;
37;-30;-215;0;0;-0.558511;-146.75;13.6667;-433.667;217.493;-1.7126;-49.3329;-141.995;162.08;-1.93562;13.6667;-433.667;453.963;-1.56354;
38;-76;-208;0;0;-27.3612;-144.422;-63.6667;-427.667;221.995;-1.92375;-63.4688;-139.862;165.721;-2.01999;-63.6667;-427.667;454.029;-1.7346;
39;-101;-206;0;0;-49.3329;-141.995;-132.667;-420.333;230.031;-2.02894;0;0;0;0;-132.667;-420.333;463.255;-1.8847;
40;-108;-206;0;0;-63.4688;-139.862;-179.333;-413.333;233.211;-2.05586;0;0;0;0;-179.333;-413.333;473.3;-1.98321;
41;-111;-204;0;0;-70.0751;-138.974;-203;-410.333;232.869;-2.07126;0;0;0;0;-203;-410.333;480.583;-2.03084;
42;-112;-201;0;0;-73.9668;-138.539;-217;-409;230.728;-2.0813;0;0;0;0;0;0;0;0;
