time;row_1;row_2;row_3;row_4;row_5;row_6;row_7;row_8;row_9;row_10;row_11;row_12;row_13;row_14;row_15;row_16;row_17;row_18;
1;-5;182;-5;182;-0.877567;120.292;0.333333;351.667;181.906;1.60001;-0.877567;120.292;118.906;1.60114;0.333333;351.667;335.434;1.57222;
2;-6;182;24;151;2.36766;116.933;10.3333;341.333;181.938;1.60551;8.06043;110.775;109.465;1.52208;10.3333;341.333;325.239;1.54151;
3;-3;179;45;127;8.06043;110.775;26.3333;324;178.859;1.58933;21.3817;91.031;91.5116;1.36553;26.3333;324;308.823;1.48806;
4;24;151;54;105;13.1828;103.813;36.3333;308.667;152.677;1.41503;28.9855;75.3592;78.4432;1.2295;36.3333;308.667;294.583;1.44992;
5;45;127;60;77;21.3817;91.031;58;273.667;134.47;1.23205;34.4582;57.657;64.5523;1.05696;58;273.667;263.709;1.3522;
6;54;105;59;49;28.9855;75.3592;79.6667;229.333;117.776;1.09749;34.296;39.5419;49.4789;0.878926;79.6667;229.333;227.222;1.21638;
7;60;77;52;22;34.4582;57.657;98;177;97.2883;0.91032;26.6869;22.1957;31.6975;0.713903;98;177;187.861;1.02705;
8;59;49;28;-8;34.296;39.5419;99.3333;124;76.3429;0.693972;14.5436;7.45073;13.255;0.470608;99.3333;124;146.015;0.830181;
9;52;22;-18;-24;26.6869;22.1957;78.3333;73.6667;56.1061;0.399609;-5.69781;-2.85815;9.46034;-2.66991;78.3333;73.6667;96.4794;0.637628;
10;28;-8;-43;-25;14.5436;7.45073;46;30.3333;28.8664;-0.287001;-27.7416;-8.41136;32.0241;-2.82888;46;30.3333;47.3376;0.302451;
11;-18;-24;-110;-17;-5.69781;-2.85815;-10.6667;-1;30.3261;-2.2192;-48.4784;-9.93218;52.4556;-2.92305;-10.6667;-1;20.7057;-2.15835;
12;-43;-25;-123;-8;-27.7416;-8.41136;-71.3333;-20;50.0972;-2.61516;-65.0463;-8.07108;68.4399;-3.00216;-71.3333;-20;80.7321;-2.67616;
13;-110;-17;-121;3;-48.4784;-9.93218;-130.333;-28.3333;111.643;-2.98717;-75.6338;-4.78668;78.6103;-3.06229;-130.333;-28.3333;138.51;-2.81401;
14;-123;-8;-111;2;-65.0463;-8.07108;-180.667;-25.3333;123.585;-3.07542;-64.7437;-10.125;68.4573;-2.97183;-180.667;-25.3333;186.177;-2.91643;
15;-125;-3;-104;-6;-75.6338;-4.78668;-215;-16.3333;125.354;-3.11629;-52.6596;-18.8327;58.9827;-2.79072;-215;-16.3333;218.254;-2.99182;
16;-123;1;-82;-30;-81.8366;-1.66412;-240;-6.66667;123.317;3.13487;-37.3129;-29.9009;50.8496;-2.47749;-240;-6.66667;241.898;-3.04678;
17;-121;3;-45;-57;-82.3097;-0.149754;-243;-1.66667;121.347;3.11828;-18.873;-41.9627;48.4821;-2.03262;-235.667;4;236.794;-3.08991;
18;-118;4;-18;-70;-81.3074;0.94816;-240.333;2.33333;118.376;3.10924;3.17007;-52.4499;53.8923;-1.56262;-216.333;-9.33333;218.644;-3.02439;
19;-119;-2;12;-87;-79.7596;1.35346;-235.667;4;119.334;-3.1234;24.982;-59.6999;65.064;-1.22174;-192;-29.6667;198.199;-2.90789;
20;-115;4;45;-102;-77.6241;0.560928;-229.333;1.66667;115.378;3.1084;43.9638;-63.2963;76.7537;-1.00365;-158.333;-52.3333;173.287;-2.73478;
21;-111;2;90;-101;-73.2304;-3.07045;-216.333;-9.33333;111.329;3.12517;59.8824;-64.1334;86.985;-0.853907;-116;-82.6667;153.056;-2.43904;
22;-104;-6;110;-98;-64.7437;-10.125;-192;-29.6667;104.497;-3.0825;71.7839;-62.6292;94.199;-0.747971;-64;-117.333;148.461;-2.02256;
23;-82;-30;119;-92;-52.6596;-18.8327;-158.333;-52.3333;87.6696;-2.79026;87.6486;-54.0812;101.459;-0.579056;0.666667;-149;165.233;-1.57167;
24;-45;-57;125;-80;-37.3129;-29.9009;-116;-82.6667;72.9517;-2.24101;0;0;0;0;64.6667;-171.667;198.454;-1.2432;
25;-18;-70;139;-69;-18.873;-41.9627;-64;-117.333;72.522;-1.82609;0;0;0;0;119.333;-183.333;232.109;-1.03488;
26;12;-87;154;-61;3.17007;-52.4499;0.666667;-149;87.9512;-1.43754;0;0;0;0;166.667;-188;263.096;-0.888728;
27;45;-102;0;0;24.982;-59.6999;64.6667;-171.667;111.516;-1.1585;0;0;0;0;204.333;-185.667;286.679;-0.781397;
28;90;-101;0;0;43.9638;-63.2963;119.333;-183.333;135.201;-0.845505;0;0;0;0;235.667;-174.667;302.655;-0.682521;
29;110;-98;0;0;59.8824;-64.1334;166.667;-188;147.203;-0.73006;0;0;0;0;257;-161.333;311.709;-0.606086;
30;119;-92;0;0;71.7839;-62.6292;204.333;-185.667;150.273;-0.660309;0;0;0;0;273.667;-148;318.469;-0.54182;
31;124;-84;0;0;80.9568;-58.736;235.667;-174.667;149.609;-0.597537;0;0;0;0;0;0;0;0;
32;125;-80;0;0;87.6486;-54.0812;257;-161.333;148.236;-0.57143;0;0;0;0;0;0;0;0;
33;139;-69;0;0;93.4202;-49.4537;273.667;-148;154.979;-0.462658;0;0;0;0;0;0;0;0;
34;154;-61;0;0;94.7137;-47.9001;275.667;-144;165.412;-0.378806;0;0;0;0;0;0;0;0;
35;160;-58;0;0;99.7059;-44.207;290.333;-132.667;169.951;-0.349346;0;0;0;0;0;0;0;0;
