time;row_1;row_2;row_3;row_4;
1;83.6;462.8;458.683;1.41191;
2;59.6;446;438.802;1.45988;
3;38.8;422;413.041;1.50351;
4;22.8;396.8;387.085;1.54038;
5;10;370.4;360.507;1.57365;
6;-2.8;343.2;333.593;1.61226;
7;-50;290.8;287.459;1.78473;
8;-93.2;231.8;245.165;2.00991;
9;-130;169.4;212.912;2.29479;
10;-160.2;105;195.869;2.63459;
11;-181.6;39.2;194.846;2.99061;
12;-195.6;-23.4;209.295;-2.98184;
13;-199.2;-82;229.436;-2.72951;
14;-195;-134.6;251.648;-2.52998;
15;-179;-179;267.941;-2.35919;
16;-150;-214.8;276.438;-2.19262;
17;-108.8;-239;276.238;-2.01949;
18;-61.8;-254.2;273.952;-1.83988;
19;-11.8;-258.6;269.463;-1.65562;
20;39.6;-251.4;262.851;-1.46189;
21;89.6;-235;257.19;-1.26034;
22;136.4;-212.6;255.385;-1.05766;
23;175.4;-182.4;252.972;-0.863529;
24;205.4;-151.4;252.578;-0.692666;
25;225;-122;251.355;-0.5524;
26;229.4;-94.4;241.998;-0.445569;
27;211.4;-69.4;215.49;-0.376826;
28;178.6;-50.6;178.156;-0.346447;
29;134.4;-40.2;133.153;-0.385707;
30;85.8;-37.2;88.3657;-0.562078;
31;85;-31.2;84.619;-0.507092;
32;76.6;-26;74.7522;-0.500854;
33;40.8;-22;43.6294;-0.819821;
34;-34.2;-29.6;60.0457;-2.42379;
