time;row_1;row_2;row_3;row_4;
1;-216;163;242.229;2.49919;
2;-233.2;123.4;236.044;2.67813;
3;-237.2;103.2;231.445;2.76403;
4;-232.6;88.2;221.977;2.81923;
5;-216;82.2;204.332;2.82135;
6;-192.8;79.8;181.625;2.79367;
7;-178.6;28.6;156.91;3.0732;
8;-157.2;-12.6;138.537;-2.91979;
9;-125;-33.2;114.917;-2.68102;
10;-70;-11.6;56.2793;-2.59035;
11;-10.2;14;12.4746;-0.315956;
12;46.6;28.2;69.429;0.149249;
13;90.8;26.6;113.194;0.0771462;
14;123.4;16.6;145.463;-0.00877341;
15;145.4;-0.6;168.473;-0.109889;
16;159;-22;185.396;-0.21678;
17;161.2;-46.2;194.136;-0.336365;
18;183.4;-10.4;207.394;-0.136767;
19;197.8;1.4;220.474;-0.0748006;
20;169.6;-78.2;214.39;-0.464681;
21;128.4;-165;236.814;-0.88235;
